date,close,predict
2019-01-02,598.98,-
2019-01-03,590.0,-
2019-01-04,602.0,-
2019-01-07,605.49,-
2019-01-08,604.79,-
2019-01-09,616.12,-
2019-01-10,618.77,-
2019-01-11,635.88,-
2019-01-14,624.6,-
2019-01-15,659.98,659.98
2019-01-16,-,661.1
