date,Unnamed: 0,PSY,open,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2001-08-27,0,-,5.392,5.553999999999999,5.902,5.1320000000000014,406318.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,406318.0,-,-,-,-,-,-,-,-,-,-,-
2001-08-28,1,-,5.4670000000000005,5.7589999999999995,5.7810000000000015,5.407,129647.79,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,535965.79,-,-,-,-,-,-,-,-,-,-,-
2001-08-29,2,-,5.777,5.684,5.7810000000000015,5.64,53252.75,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,482713.04000000004,-,-,-,-,-,-,-,-,-,-,-
2001-08-30,3,-,5.6679999999999975,5.796,5.86,5.624,48013.06,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,530726.1000000001,-,-,-,-,-,-,-,-,-,-,-
2001-08-31,4,-,5.803999999999999,5.782,5.8770000000000024,5.749,23231.48,5.715,0.0,0.0,-,-,-,-,-,-,-,-,-,-,507494.6200000001,-,-,-,-,-,-,-,-,-,-,-
2001-09-03,5,-,5.812,5.779,5.87,5.7570000000000014,22112.09,5.76,0.0,0.0,-,-,-,5.725666666666666,-,-,-,-,-,-,485382.5300000001,-,-,-,-,-,-,-,-,-,-,-
2001-09-04,6,-,5.782,5.852,5.949,5.7620000000000005,37006.77,5.7786,0.0,0.0,-,-,-,5.761761904761904,-,-,-,-,-,-,522389.3000000001,-,-,-,-,-,-,80.91286307053952,-,-,-,-
2001-09-05,7,-,5.876,5.849,5.9239999999999995,5.813,26066.95,5.8116,0.0,0.0,-,-,-,5.786687074829932,-,-,-,-,-,-,496322.3500000001,-,-,-,-,-,-,80.31301482701818,-,-,-,-
2001-09-06,8,-,5.835,5.734,5.854,5.704,28997.03,5.799200000000001,0.0,0.0,-,-,-,5.771633624878523,-,-,-,-,-,-,467325.32000000007,-,-,-,-,-,-,59.88943488943492,-,-,-,-
2001-09-07,9,-,5.702000000000001,5.574,5.773,5.57,31552.25,5.7576,5.736300000000001,0.0,5.736300000000001,-,-,5.715166874913231,-,-,-,-,-,-,435773.07000000007,-,-,-,-,-,-,42.04035874439464,-,-,-,-
2001-09-10,10,0.4,5.5310000000000015,5.734,5.7570000000000014,5.47,18878.89,5.7486,5.7543000000000015,0.0,5.735881818181819,-,-,5.720547767795165,-,-,-,-,-,-,454651.9600000001,-,-,-,-,-,-,57.30855226383456,-,-,-,-
2001-09-11,11,0.3,5.749,5.67,5.773,5.6560000000000015,11390.81,5.712199999999998,5.745400000000001,0.0,5.723903305785125,-,-,5.706105548425118,5.7305833333333345,-,-,-,-,-,443261.1500000001,-,-,-,-,-,-,50.87556817874241,-,-,-,-
2001-09-12,12,0.3,5.52,5.621,5.6560000000000015,5.515,25045.19,5.666599999999999,5.739100000000001,0.0,5.705193613824194,-,-,5.681789677446512,5.71372435897436,-,-,-,-,-,418215.9600000001,-,-,-,-,-,53.242981606970034,46.119232841613005,-,42.79749478079339,46.1870677381645,36.018348866051184
2001-09-13,13,0.2,5.626,5.607,5.671,5.577000000000001,10986.68,5.6412,5.720200000000001,0.0,5.687340229492522,-,-,5.66042119817608,5.697305226824458,-,-,-,-,-,407229.2800000001,-,-,-,-,-,52.46726216286536,44.68685949924378,-,33.95963813500357,39.77240920634683,22.33409599231706
2001-09-14,14,0.3,5.626,5.671,5.702000000000001,5.593,7672.83,5.6606,5.709100000000001,0.0,5.6843692786757,-,-,5.6634437129829145,5.693258268851465,-,-,-,-,-,414902.1100000001,-,-,-,-,-,55.68695473220786,52.73898260761521,-,34.02922755741139,36.928786824402785,28.230109023428597
2001-09-17,15,0.3,5.6370000000000005,5.599,5.67,5.546,8983.97,5.6336,5.691100000000001,0.0,5.668847591643754,-,-,5.645031223559225,5.6787569967204705,-,-,-,-,-,405918.14000000013,-,-,-,-,-,51.41294833018004,44.0768236744344,-,32.992590412601004,33.66048536833866,31.656800501125687
2001-09-18,16,0.3,5.606,5.662999999999999,5.71,5.601,10773.26,5.632199999999999,5.672200000000001,0.0,5.667784393163071,-,-,5.6501651596851605,5.67633284337886,-,-,-,-,-,416691.40000000014,-,-,-,-,-,54.77854644423748,52.41372782167476,-,40.212311764955366,35.744709911655924,49.14751547155426
2001-09-19,17,0.4,5.671,5.768,5.768,5.6339999999999995,8650.53,5.661599999999997,5.6641,0.0,5.686005412587967,-,-,5.683832256917972,5.690435482859035,-,-,-,-,-,425341.93000000017,-,-,-,-,-,59.76655118207089,63.21114382130466,-,59.00811618882153,44.07100612212597,88.88233632221265
2001-09-20,18,0.4,5.765,5.72,5.787999999999999,5.702000000000001,11173.35,5.684199999999999,5.6627,0.0,5.6921862466628825,-,-,5.694165897798551,5.694983870111491,-,-,-,-,-,414168.5800000002,-,-,-,-,-,56.650350352701516,56.21407131274435,-,75.74220128380762,58.32087641252818,110.5848510263665
2001-09-21,19,0.4,5.6679999999999975,5.6339999999999995,5.718,5.624,7879.72,5.676799999999997,5.6687,5.7025000000000015,5.681606929087813,5.702500000000001,-,5.676975641284679,5.685601736248184,-0.006634316297348342,-0.01123896301986043,0.004604646722512089,-,-,406288.8600000002,-,-,-,-,-,51.411091648749704,45.407482852312555,-,73.51864359149997,69.42298702137639,81.70995673174713
2001-09-24,20,0.3,5.6339999999999995,5.6320000000000014,5.685,5.624,4068.6,5.683399999999998,5.6585,5.7064,5.672587487435484,5.695785714285715,-,5.664125458060486,5.677355315286926,-0.011807158179185429,-0.01135260205172543,-0.0004545561274599992,-,-,402220.26000000024,-,-,-,-,-,51.29074711354525,45.16517912212986,-,55.02107954938169,68.09397480822976,28.875289031685554
2001-09-25,21,0.4,5.6679999999999975,5.66,5.709,5.6320000000000014,3488.45,5.682799999999999,5.6575000000000015,5.70145,5.6702988533563055,5.692377551020408,-,5.66294675575749,5.674685266781245,-0.010722297418573667,-0.011226541125095076,0.0005042437065214088,-,-,405708.71000000025,-,-,-,-,-,52.972035924027836,49.67658650808926,-,44.51810815447205,57.68594376511791,18.182436933180327
