date,open,PSY,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2019-01-02,938.0,-,952.0,955.51,925.0,40761.02,-,-,-,-,-,-,-,-,-,-,-,-,-,40761.02,-,-,-,-,-,-,-,-,-,-,-
2019-01-03,904.9,-,939.9,939.9,901.22,46423.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-5662.420000000006,-,-,-,-,-,-,-,-,-,-,-
2019-01-04,931.0,-,907.0,939.0,907.0,45522.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-51185.06000000001,-,-,-,-,-,-,-,-,-,-,-
2019-01-07,909.0,-,914.0,919.99,900.01,48612.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-2572.890000000007,-,-,-,-,-,-,-,-,-,-,-
2019-01-08,948.0,-,925.2,950.0,905.55,61102.54,927.6200000000001,-,-,-,-,-,-,-,-,-,-,-,-,58529.65,-,-,-,-,-,-,-,-,-,-,-
2019-01-09,903.0,-,947.99,951.9,900.0,67814.38,926.818,-,-,-,-,-,931.015,-,-,-,-,-,-,126344.03,-,-,-,-,-,-,-,-,-,-,-
2019-01-10,903.0,-,905.0,908.2,892.51,47989.8,919.8380000000001,-,-,-,-,-,923.5821428571428,-,-,-,-,-,-,78354.23,-,-,-,-,-,-,31.78012094898434,-,-,-,-
2019-01-11,900.0,-,900.2,908.0,890.12,66251.93,918.4780000000001,-,-,-,-,-,916.9015306122448,-,-,-,-,-,-,12102.300000000005,-,-,-,-,-,-,30.42155261986049,-,-,-,-
2019-01-14,840.0,-,865.0,865.8,836.2,55772.36,908.6780000000001,-,-,-,-,-,902.0725218658893,-,-,-,-,-,-,-43670.06,-,-,-,-,-,-,22.10561511745799,-,-,-,-
2019-01-15,840.12,-,844.5,851.74,834.21,43056.8,892.5380000000001,910.0790000000001,-,910.079,-,-,885.6232299042066,-,-,-,-,-,-,-86726.86,-,-,-,-,-,-,18.559940593700762,-,-,-,-
2019-01-16,859.99,0.4,850.0,859.99,836.06,53227.05,872.9400000000002,899.8790000000001,-,899.1555454545454,-,-,875.4451642172902,-,-,-,-,-,-,-33499.81,-,-,-,-,-,-,22.558995043417465,-,-,-,-
2019-01-17,860.0,0.5,859.0,868.95,851.0,60934.61,863.7400000000001,891.7890000000001,-,891.8545371900827,-,-,870.7465458694929,900.8158333333334,-,-,-,-,-,27434.80000000001,-,-,-,-,-,-,29.36940372826129,-,-,-,-
2019-01-18,835.0,0.5,853.99,866.68,830.17,90933.96,854.4980000000002,886.488,-,884.970075882795,-,-,865.9589613353523,893.6118589743589,-,-,-,-,-,-63499.16,-,-,-,-,-,26.55150964160965,27.73980009766042,-,18.016103604098024,15.952304874948945,22.143701062396183
2019-01-21,793.43,0.4,806.8,814.48,785.68,57566.76,842.8580000000002,875.768,-,870.7573348131958,-,-,849.056400953823,880.2561883629191,-,-,-,-,-,-121065.92,-,-,-,-,-,21.30379698237801,17.047955242874018,-,17.779253364105546,16.734421582843467,19.86891692662972
2019-01-22,781.0,0.3,788.5,793.88,775.0,42807.39,831.6580000000001,862.098,-,855.801455756251,-,-,831.7545721098735,866.1398516917009,-,-,-,-,-,-163873.31,-,-,-,-,-,19.659979614705644,14.455229039198437,-,14.136361172908487,16.643906047037348,9.121271424650763
2019-01-23,780.0,0.2,773.0,785.94,764.1,37595.69,816.2580000000002,844.5989999999999,-,840.7466456187509,-,-,814.9675515070525,851.8106437391315,-,-,-,-,-,-201469.0,-,-,-,-,-,18.351583450813862,12.519929866410346,-,9.675345981924183,13.863653506312735,1.2987309331470769
2019-01-24,786.0,0.3,775.6,788.0,773.3,37270.46,799.5780000000002,831.659,-,828.9018009607962,-,-,803.7196796478946,840.0859293177266,-,-,-,-,-,-164198.54,-,-,-,-,-,19.333958123639068,14.81558257210991,-,9.09601177349404,10.96923964277557,5.3495560349309805
2019-01-25,788.22,0.4,794.0,799.98,785.0,30517.5,787.5800000000003,821.039,-,822.5560189679242,-,-,800.9426283199248,832.9957863457687,-,-,-,-,-,-133681.04,-,-,-,-,-,26.190060237837855,30.339735280630713,-,15.223276377153486,11.331544710857232,23.00673970974599
