date,open,PSY,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2018-03-22,5.65,-,5.7,5.72,5.64,1400200.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1400200.5,-,-,-,-,-,-,-,-,-,-,-
2018-03-23,5.65,-,5.65,5.66,5.62,1865486.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-465285.5,-,-,-,-,-,-,-,-,-,-,-
2018-03-26,5.64,-,5.65,5.66,5.59,1208877.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-465285.5,-,-,-,-,-,-,-,-,-,-,-
2018-03-27,5.61,-,5.64,5.66,5.6,1557976.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-2023262.25,-,-,-,-,-,-,-,-,-,-,-
2018-03-28,5.56,-,5.61,5.65,5.55,2414575.5,5.65,-,-,-,-,-,-,-,-,-,-,-,-,-4437837.75,-,-,-,-,-,-,-,-,-,-,-
2018-03-29,5.6,-,5.57,5.61,5.54,1594083.38,5.6240000000000006,-,-,-,-,-,5.636666666666667,-,-,-,-,-,-,-6031921.13,-,-,-,-,-,-,-,-,-,-,-
2018-03-30,5.54,-,5.59,5.61,5.53,1546208.38,5.612,-,-,-,-,-,5.623333333333333,-,-,-,-,-,-,-4485712.75,-,-,-,-,-,-,13.333333333333098,-,-,-,-
2018-04-02,5.54,-,5.57,5.59,5.51,1615658.25,5.596000000000001,-,-,-,-,-,5.608095238095238,-,-,-,-,-,-,-6101371.0,-,-,-,-,-,-,11.494252873563042,-,-,-,-
2018-04-03,5.51,-,5.52,5.56,5.5,1248745.5,5.572,-,-,-,-,-,5.582925170068028,-,-,-,-,-,-,-7350116.5,-,-,-,-,-,-,8.130081300812837,-,-,-,-
2018-04-04,5.55,-,5.54,5.57,5.53,1164306.75,5.558,5.604,-,5.604,-,-,5.570660835762877,-,-,-,-,-,-,-6185809.75,-,-,-,-,-,-,19.446820644425515,-,-,-,-
2018-04-09,5.54,0.3,5.61,5.66,5.5,2165359.0,5.566,5.595,-,5.605090909090909,-,-,5.581900596973483,-,-,-,-,-,-,-4020450.75,-,-,-,-,-,-,46.91246664411629,-,-,-,-
2018-04-10,5.57,0.3,5.52,5.58,5.5,1676489.5,5.551999999999999,5.582,-,5.589619834710744,-,-,5.564214712123916,5.5975,-,-,-,-,-,-5696940.25,-,-,-,-,-,-,30.740965131342378,-,-,-,-
2018-04-11,5.6,0.4,5.59,5.64,5.57,1355874.5,5.555999999999999,5.576,-,5.589688955672427,-,-,5.571581937231368,5.596346153846154,-,-,-,-,-,-4341065.75,-,-,-,-,-,38.297872340425535,47.59992457257169,-,45.833333333333236,38.51010101010095,60.47979797979781
2018-04-12,5.7,0.5,5.66,5.71,5.63,1680326.12,5.584,5.578,-,5.6024727819138045,-,-,5.596844240879549,5.606139053254438,-,-,-,-,-,-2660739.63,-,-,-,-,-,46.92179700499169,59.44588980117297,-,48.31349206349196,43.1878306878306,58.56481481481467
2018-04-13,5.69,0.6,5.72,5.8,5.56,3942109.0,5.62,5.589,-,5.623841367020385,-,-,5.632031600628249,5.623656121984524,-,-,-,-,-,1281369.37,-,-,-,-,-,53.056856187290926,67.09677185047752,-,68.5912698412698,54.246031746031655,97.2817460317461
2018-04-16,5.8,0.7,5.81,5.83,5.74,1850456.88,5.660000000000001,5.613,-,5.657688391198497,-,-,5.682879714734463,5.652324410909982,-,-,-,-,-,3131826.25,-,-,-,-,-,60.52343598187707,75.43775428280213,-,81.15440115440113,66.01972101972096,111.42376142376148
2018-04-17,5.73,0.6,5.8,5.84,5.71,2119529.75,5.716,5.634,-,5.683563229162407,-,-,5.716342653381759,5.675043732308446,-,-,-,-,-,1012296.5,-,-,-,-,-,59.378645842360015,72.97131951487715,-,85.16934046345804,78.30500381970965,98.89801375095482
2018-04-18,5.71,0.6,5.71,5.76,5.7,1840006.12,5.74,5.648000000000001,-,5.6883699147692415,-,-,5.714530466701257,5.6804216196456085,-,-,-,-,-,-827709.6200000001,-,-,-,-,-,50.078591604870994,53.92876807369106,-,81.31313131313127,82.54562431033013,78.84814531873354
2018-04-19,5.79,0.7,5.73,5.8,5.71,2259720.25,5.754,5.669000000000001,-,5.695939021174834,-,-,5.718950333358041,5.688049062777053,-,-,-,-,-,1432010.63,-,-,-,-,-,51.9047296709556,56.926235675545236,-,72.54901960784319,79.67716379481082,58.292731233907915
2018-04-20,5.82,0.7,5.81,5.84,5.74,2091668.12,5.772,5.6960000000000015,5.65,5.716677380961228,5.65,-,5.744964523827172,5.706810745426737,0.037755254047196374,0.01071786309209847,0.027037390955097905,-,-,3523678.75,-,-,-,-,-,58.525078919809495,67.17678297791636,-,73.52941176470591,75.79718756189344,68.99386017033086
2018-04-23,5.84,0.6,5.81,5.85,5.79,1831041.12,5.772,5.716000000000002,5.6555,5.733645129877368,5.665238095238095,-,5.76354608844798,5.722686015361085,0.040575412834581215,0.01668937304059502,0.023886039793986194,-,-,3523678.75,-,-,-,-,-,58.525078919809495,67.17678297791636,-,81.6768086544963,75.91841334234846,93.19359927879196
2018-04-24,5.99,0.7,5.83,6.0,5.81,2731242.5,5.7780000000000005,5.747000000000002,5.664499999999999,5.7511641971723915,5.680929705215419,-,5.782532920319986,5.739195859151687,0.04313373241664564,0.021978244915805144,0.021155487500840498,-,-,6254921.25,-,-,-,-,-,60.15681425091518,69.7669001199866,-,79.58233450119859,78.26285164013359,82.22130022332857
2018-04-25,5.94,0.7,5.98,6.01,5.94,1845142.25,5.832000000000001,5.786000000000001,5.680999999999999,5.792770706777412,5.709412590432999,-,5.838952085942847,5.776242650051428,0.06256420106881055,0.030095436146406224,0.03246876492240433,-,-,8100063.5,-,-,-,-,-,69.85903456355904,82.32189399420659,-,80.30128874956468,80.52014396841984,79.86357831185435
2018-04-26,6.01,0.6,5.94,6.03,5.93,2164784.0,5.8740000000000006,5.814000000000002,5.696,5.819539669181519,5.731373296106047,-,5.867822918530606,5.801436088505055,0.06628309086654394,0.037332967090433766,0.02895012377611017,-,-,5935279.5,-,-,-,-,-,65.23764435332193,72.66555704263696,-,75.80808080808089,78.56390135294804,70.29643971834659
2018-04-27,5.99,0.6,6.01,6.08,5.96,3642939.0,5.914000000000001,5.843000000000002,5.715999999999999,5.854168820239424,5.757909172667376,-,5.908444941807575,5.833522844119662,0.07484799828862343,0.0448359733300717,0.03001202495855173,-,-,9578218.5,-,-,6.069639963108039,5.909340243831807,5.749040524555574,69.13558099981633,78.06804391609344,63.24786324786322,82.54651780967573,79.55196245577373,88.53562851747975
2018-05-02,5.78,0.5,6.0,6.03,5.75,5512072.5,5.952000000000002,5.862000000000002,5.7375,5.8806835801958925,5.78096544193715,-,5.934603529862554,5.859134714255099,0.07541588746510453,0.05095195615707827,0.02446393130802626,-,-,4066146.0,0.2999999999999998,-,6.078845550061007,5.94775779319556,5.816670036330113,67.94818935932368,75.50964007401096,62.68876611418046,77.75119617224878,78.70193159666844,75.84972532340944
2018-05-03,5.81,0.5,5.81,5.93,5.8,4734974.5,5.948000000000002,5.863000000000002,5.7485,5.867832020160276,5.783730637943136,-,5.899002521330395,5.851575527446622,0.04738918806780923,0.05023940253922446,-0.00285021447141523,-,-,-668828.5,0.15999999999999925,-,6.102288443622967,5.956192584680778,5.810096725738589,50.10975267544994,43.21777828525581,53.34041886386242,62.51778093883349,74.27183164025264,39.00967953599519
2018-05-04,5.72,0.5,5.73,5.74,5.7,1536137.62,5.898000000000002,5.865000000000003,5.7565,5.842771652858408,5.778613434329504,-,5.850716086664568,5.832871600147142,0.01781748236316627,0.043755018504012824,-0.025937536140846554,-,-,-2204966.12,0.08000000000000007,-,6.151463750153573,5.931136720490798,5.7108096908280235,44.7173766691295,35.53868896126096,50.06052134538091,37.956377430061615,59.40845151371462,-4.947770737244397
2018-05-07,5.75,0.4,5.73,5.79,5.71,2171263.5,5.8560000000000025,5.865000000000002,5.767,5.8222677159750615,5.773983583440979,-,5.816225776188977,5.817045200124505,-0.0008387126171420789,0.034836272279781845,-0.035674984896923924,-,-,-2204966.12,0.09000000000000075,-,6.138010054266568,5.887698248711967,5.637386443157366,44.71737666912949,35.53868896126096,50.060521345380906,14.272166903745855,38.24877509088031,-33.68104947052305
2018-05-08,5.75,0.4,5.75,5.79,5.7,2412363.0,5.804000000000004,5.859000000000002,5.7775,5.809128131252323,5.771699432637076,5.719666666666666,5.797304125849269,5.806730553951504,-0.00944020573195914,0.025980976677433647,-0.035421182409392786,-,-,207396.8799999999,0.13999999999999968,-,6.047319340303096,5.842731950662326,5.638144561021557,46.43242753319579,39.41412998109903,50.8826608261228,9.649122807017568,20.625889046941666,-12.30440967283063
2018-05-09,5.81,0.5,5.78,5.82,5.76,2408015.75,5.760000000000003,5.856000000000002,5.786,5.803832107388264,5.7724899628621165,5.723559139784945,5.792360089892335,5.8026181610358885,-0.01026791230764168,0.018731198880418583,-0.028999111188060263,-,-,2615412.63,0.20999999999999996,-,5.870030836799009,5.808063103259716,5.746095369720424,49.02042808967262,45.33030672638693,52.11650968654592,14.035087719298254,12.652125810020545,16.80101153785367
2018-05-10,5.85,0.5,5.82,5.98,5.78,4293673.5,5.762000000000004,5.855000000000002,5.801,5.806771724226762,5.777014728303819,5.729781130766562,5.800257207065954,5.80529229010729,-0.005042112444256119,0.013976536615483641,-0.01901864905973976,-,-,6909086.13,0.23000000000000043,-,5.858600907686337,5.79001519488838,5.721429482090422,52.3677018483307,52.71765804964832,53.733530591720736,21.929824561403507,15.204678362573096,35.380116959064324
2018-05-11,5.7,0.4,5.81,5.83,5.69,4524539.5,5.778000000000004,5.838000000000003,5.811999999999999,5.80735868345826,5.780156182751075,5.7349565416848485,5.803040862189967,5.806016553167707,-0.0029807119798253012,0.010585086896421852,-0.013565798876247153,-,-,2384546.63,0.23999999999999932,-,5.852434302206485,5.783848589408528,5.715262876610571,51.44644862856439,50.66384223560546,53.264296620907004,27.800269905533018,21.255060728744912,40.89068825910923
2018-05-14,5.6,0.4,5.7,5.71,5.6,3262867.25,5.772000000000004,5.814000000000003,5.814,5.7878389228294855,5.772522260584306,5.732701280930987,5.773600615849976,5.7897063142188285,-0.016109284798913492,0.005246212557354782,-0.021355497356268273,-,-,-878320.6200000001,0.1800000000000006,-,5.858864591328357,5.771778427099836,5.684692262871315,42.478963575391084,33.457912185609246,48.411737559251755,28.534664030380043,26.088252832438844,33.42748642626244
2018-05-15,5.66,0.3,5.66,5.7,5.64,3924760.25,5.754000000000003,5.779000000000003,5.811,5.764595482315034,5.761805854814372,5.728010875709633,5.7411432970356975,5.769751496646701,-0.028610761346761215,-0.0015251822234684173,-0.027085579123292798,0.08942500488600125,-,-4803080.87,0.1200000000000001,0.175,5.875775982417018,5.7495381117125,5.623300241007982,39.73165297693234,29.139616171020982,46.794117201105216,23.27150613564322,26.535480023852084,16.743558359225496
