date,Unnamed: 0,PSY,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2016-08-16,30,0.7,16.94,16.99,16.7,16.67,493840.38,-0.24,-1.42,16.375999999999998,16.038,15.893,489796.97,317351.74,254569.77,16.376000000000005,16.037999999999997,15.893000000000004,16.200560059513176,15.989064133923229,15.838731182795703,16.386084842915587,16.139627768447323,0.24649447988996798,0.11167315657376839,0.1348213233161996,-,-,2256342.83,1.0599999999999987,-,17.106860551589126,16.296073279858533,15.485286008127938,70.76546834841363,75.07454071024752,63.701269395887,89.45390121860724,85.7625671351163,96.83656938558912
2016-08-17,31,0.7,16.72,16.85,16.66,16.52,364465.97,-0.04,-0.24,16.542,16.137,15.939,525691.09,343214.34,265359.8,16.542000000000005,16.136999999999997,15.938500000000007,16.284094594147145,16.052962787835302,15.891716267776626,16.464346316368275,16.219685034840044,0.24468799968659383,0.13827612519633348,0.10641187449026035,-,-,1891876.86,0.8599999999999994,-,17.085012134466687,16.474124256047055,15.863236377627425,69.16020226271861,72.33185136527158,62.835688089033404,82.89379465850058,85.43968740047183,77.8020091745581
2016-08-18,32,0.7,16.55,16.77,16.44,16.35,371101.38,-0.2,-1.2,16.618,16.221,15.969,494532.53,364713.98,272904.65,16.618000000000002,16.220999999999997,15.96850000000001,16.312441031574938,16.08982347470813,15.927089411791037,16.45739022597734,16.253579644864654,0.20382966551151682,0.15138683325937013,0.05244283225214669,-,-,1520775.48,0.7300000000000004,-,16.993239909849844,16.577855750305915,16.162471590761985,60.87478582156529,58.27963849398008,58.28999708616741,70.42102777396899,80.92290788369228,49.4172675545224
2016-08-19,33,0.6,16.43,16.5,16.43,16.36,199273.0,-0.01,-0.06,16.634,16.292,16.01,440403.87,366992.77,274512.45,16.634000000000004,16.291999999999998,16.00950000000001,16.333815389470402,16.12222123902164,15.959535256191616,16.44956444712667,16.2807212379624,0.1688568408777229,0.15488083478304068,0.01397600609468222,-,-,1321502.48,0.7199999999999989,-,16.99375689678193,16.616482460859828,16.239208024937724,60.51529391767113,57.668537984984795,58.090672594395365,62.379982687571406,71.898268373347,43.34341131602022
2016-08-22,34,0.5,16.42,16.47,16.42,16.31,197686.3,0.0,0.0,16.53,16.361,16.046,325273.41,373632.03,278675.78,16.530000000000005,16.360999999999994,16.04600000000001,16.349485318657603,16.15058112101958,15.989242659017963,16.441117462233336,16.30214873981434,0.13897845935717967,0.1517003596978685,-0.012721900340688819,0.25315912442955835,-,1123816.18,0.6600000000000019,0.7120000000000001,16.85811560063006,16.6115390405109,16.364962480391736,60.12793237761357,56.951923733805344,57.884130038003555,55.26771511018759,62.689575190575994,40.42399494941077
2016-08-23,35,0.4,16.41,16.56,16.42,16.32,317543.69,0.01,0.06,16.474,16.425,16.08,290014.07,389905.52,284321.77,16.474000000000004,16.424999999999994,16.08000000000001,16.362306169810765,16.17624006187486,16.017033455210353,16.43508390159524,16.320279702919827,0.11481115363125838,0.14432251848454647,-0.02951136485328809,0.2537761418819784,-,1123816.18,0.6900000000000013,0.7820000000000003,16.77051898461389,16.583928523977377,16.397338063340865,60.12793237761357,56.951923733805344,57.88413003800355,53.8584013846974,57.16869972748547,47.23780469912127
2016-08-24,36,0.3,16.41,16.51,16.4,16.34,170854.23,0.0,0.0,16.422,16.482,16.105999999999998,251291.72,388491.41,272515.81,16.422000000000004,16.481999999999996,16.10600000000001,16.369159593481534,16.197550532172492,16.04174097422904,16.425059929710887,16.332544364009085,0.09252053352740575,0.1339621214931183,-0.04144158796571257,0.24986851319603876,-,952961.95,0.6499999999999986,0.8280000000000001,16.572708321872486,16.54617532354029,16.519642325208093,59.22559714035284,54.98414412269062,57.439386402291326,48.60968612251107,52.57860087246536,40.67185662260249
2016-08-25,37,0.2,16.36,16.41,16.34,16.2,247499.16,-0.05,-0.3,16.402,16.51,16.137,226571.28,360551.9,276165.09,16.402000000000005,16.509999999999998,16.136500000000005,16.363857849212163,16.211117148156063,16.060983492020714,16.400757092650633,16.333691384930763,0.06706925616672876,0.1205835484278404,-0.05351429226111164,0.24118503142163128,-,705462.7899999999,0.5,0.8290000000000003,16.565756142978078,16.500763835737324,16.43577152849657,56.452989545414646,48.901495868333384,56.09029123389211,36.471285668739064,46.31312439198251,16.787608222252175
2016-08-26,38,0.1,16.36,16.4,16.34,16.29,146880.56,0.0,0.0,16.384,16.509,16.169,216092.79,328248.33,276334.96,16.384000000000004,16.508999999999997,16.169000000000004,16.359520058446314,16.223391705474533,16.078984557051637,16.38339792332188,16.33466194109526,0.048738516831519973,0.10621454210857631,-0.057476025277056336,0.22929658172152756,-,705462.7899999999,0.7300000000000004,0.812,16.528636023358498,16.45531481223408,16.38199360110966,56.452989545414646,48.90149586833339,56.09029123389211,24.670125331186302,36.58369904081214,0.842977911934625
2016-08-29,39,0.0,16.31,16.37,16.23,16.08,302020.22,-0.11,-0.67,16.346,16.438,16.191,236959.57,281116.49,279981.0,16.346000000000004,16.437999999999995,16.190500000000007,16.33597095691062,16.22402106685791,16.088727488854758,16.339569945229915,16.31856010400368,0.021011651658305652,0.08917396401852218,-0.06816231236021653,0.2128955713226688,-,403442.56999999995,0.5400000000000009,0.7140000000000001,16.535140526554436,16.402716963694502,16.270293400834568,51.22123278989123,37.847951889227915,53.57823452018471,18.091736399856302,26.41104913326056,1.453110933047789
