date,PSY,open,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,KValue,DValue,JValue,EMA12,EMA26,DIFF,DEA,MACD,RSI12,RSI6,RSI24,UPPER,MID,LOWER,MOM25,MOM25_MA_10,OBV,TRIX12,TRIX20
2018-01-02,-,9.39,9.19,9.42,9.16,539386.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,539386.31,-,-
2018-01-03,-,9.31,9.38,9.46,9.31,576604.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1115990.31,-,-
2018-01-04,-,9.45,9.28,9.49,9.28,624593.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491397.06000000006,-,-
2018-01-05,-,9.35,9.3,9.42,9.27,421140.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,912537.65,-,-
2018-01-08,-,9.29,9.34,9.43,9.21,586615.44,9.298000000000002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1499153.09,-,-
2018-01-09,-,9.4,9.42,9.45,9.31,509117.69,9.344000000000003,-,-,-,-,-,-,-,-,9.318333333333335,-,-,-,-,-,-,-,-,-,-,-,-,2008270.78,-,-
2018-01-10,-,9.68,9.45,9.7,9.33,1000616.81,9.358000000000002,-,-,-,-,-,-,-,-,9.355952380952383,-,-,-,-,-,78.2608695652172,-,-,-,-,-,-,3008887.59,-,-
2018-01-11,-,9.92,9.71,9.97,9.63,990284.81,9.444000000000003,-,-,-,-,-,-,-,-,9.457108843537416,-,-,-,-,-,87.04663212435221,-,-,-,-,-,-,3999172.4,-,-
2018-01-12,-,10.14,9.94,10.18,9.9,598007.0,9.572000000000003,-,-,-,-,-,-,-,-,9.595077745383868,-,-,-,-,-,90.93546047860758,-,-,-,-,-,-,4597179.4,-,-
2018-01-15,-,10.2,10.12,10.32,10.1,537744.31,9.728000000000003,9.513000000000002,-,9.513000000000002,-,-,-,-,-,9.745055532417048,-,-,-,-,-,92.92906437379786,-,-,-,-,-,-,5134923.710000001,-,-
2018-01-16,0.9,10.16,10.29,10.33,10.1,571274.88,9.902000000000003,9.623000000000001,-,9.654272727272728,-,-,-,-,-,9.900753951726463,-,-,-,-,-,94.3398960352103,-,-,-,-,-,-,5706198.590000002,-,-
2018-01-17,0.8,10.34,10.17,10.35,10.16,526675.12,10.046000000000003,9.702000000000002,-,9.74804132231405,-,-,-,-,-,9.97768139409033,9.632500000000002,-,-,-,-,80.70068885163508,-,-,-,-,-,-,5179523.470000002,-,-
2018-01-18,0.9,10.25,10.39,10.48,10.2,790845.19,10.182000000000004,9.813000000000002,-,9.864761081893313,-,-,91.1841611903775,87.89496721592472,97.76254913928304,10.095486710064522,9.749038461538463,-,-,-,86.58536585365853,85.35784999889508,-,-,-,-,-,-,5970368.66,-,-
2018-01-19,0.8,10.3,10.24,10.32,10.2,366379.03,10.242000000000004,9.907000000000002,-,9.932986339730892,-,-,85.53703054324687,88.08718388080176,80.43672386813708,10.136776221474658,9.82457100591716,-,-,-,78.72983870967741,71.28377197718594,-,-,-,-,-,-,5603989.63,-,-
2018-01-22,0.7,10.21,10.23,10.26,10.17,299089.62,10.264000000000006,9.996000000000002,-,9.986988823416185,-,-,83.5538116263895,86.75833445333797,77.14476597249256,10.163411586767614,9.88694469731452,-,-,-,78.21376547705754,70.3557335291911,-,-,-,-,-,-,5304900.01,-,-
2018-01-23,0.6,10.22,10.17,10.27,10.13,494818.88,10.240000000000006,10.071000000000002,-,10.02026358279506,-,-,73.75915360570089,80.94999859177909,59.377463633544494,10.165293990548296,9.93049166695844,-,-,-,74.99603199796834,64.32604798647789,-,-,-,-,-,-,4810081.13,-,-
2018-01-24,0.6,10.3,10.28,10.39,10.27,340216.16,10.262000000000006,10.154000000000002,-,10.06748838592323,-,-,69.10250756974445,75.47182426727828,56.363874174676795,10.198067136105925,9.984262179734065,-,-,-,76.8969613421716,69.98522130224349,-,-,-,-,-,-,5150297.29,-,-
2018-01-25,0.5,10.36,10.25,10.37,10.23,578866.5,10.234000000000005,10.208000000000002,-,10.10067231575537,-,-,56.173445784847424,66.34503565343091,35.83026604768045,10.212905097218517,10.025144921313439,-,-,-,75.19609778969091,66.53110978858962,-,-,-,-,-,-,4571430.79,-,-
2018-01-26,0.5,10.49,10.45,10.51,10.4,581545.25,10.276000000000007,10.259000000000002,-,10.164186440163483,-,-,63.45225974945765,62.90940436801649,64.53797051233998,10.280646498013226,10.090507241111371,-,-,-,78.63323160543543,76.00519405335375,-,-,-,-,-,-,5152976.04,-,-
2018-01-29,0.5,10.57,10.59,10.62,10.53,534813.06,10.348000000000004,10.306000000000001,9.9095,10.241607087406486,9.9095,-,72.90569629649036,64.17713394359846,90.36282100227416,10.36903321286659,10.167352280940392,0.1995793627827247,0.2450213076886324,-0.045441944905907694,80.67787646687208,80.61464309836181,-,-,-,-,-,-,5687789.1,-,-
2018-01-30,0.4,10.59,10.59,10.66,10.47,1064097.25,10.432000000000006,10.336000000000002,9.9795,10.304951253332579,9.974309523809524,-,88.67861916971113,75.01219173855304,116.01147403202731,10.432166580618993,10.232375006949562,0.1982904528526639,0.2356751367214387,-0.037384683868774804,80.67787646687208,80.61464309836181,-,-,-,-,-,-,5687789.1,-,-
2018-01-31,0.4,10.22,10.36,10.36,10.17,594715.31,10.448000000000004,10.355,10.0285,10.31496011636302,10.011041950113379,-,74.68874342189702,78.75768629603283,66.55085767362539,10.411547557584996,10.252009621265014,0.1584657071651474,0.22023325081018044,-0.061767543645033035,67.96259648259179,55.425887011644434,-,-,-,-,-,-,5093073.789999999,-,-
