date,close,open,high,low,volume,MA_5,EMA10,MA_10,MA_20,MA_30,MA_60,EMA20,EMA30,KValue,DValue,JValue,PSY,EMA12,EMA26,DIFF,DEA,MACD,RSI12,RSI6,RSI24,UPPER,MID,LOWER,MOM25,MOM25_MA_10,OBV,TRIX12,TRIX20
2018-01-26,17.58,17.62,17.78,17.33,123715.43,17.422,17.041584468720576,17.041584468720576,16.658070482994766,16.47635544799673,16.258613102454728,16.658070482994766,16.47635544799673,74.52835636931829,71.98736658586316,66.9053870189529,50.0,17.324531968993615,16.898967854849857,-,-,-,67.00481834071434,66.56625325732153,-,-,-,-,-,-,478994.84,-,-
2018-01-29,17.75,17.37,18.01,16.98,203155.05,17.732,17.17038729258956,17.17038729258956,16.762063770328595,16.55852606425501,16.307511033521784,16.762063770328595,16.55852606425501,75.57445980176773,73.18306432449802,68.4002733699586,50.0,17.446094263566867,17.02989587718065,-,-,-,68.7236105100881,69.52248981485461,-,-,-,-,-,-,682149.89,-,-
2018-01-30,17.56,17.36,17.98,17.1,227038.05,17.742,17.241225966664185,17.241225966664185,16.838057696963972,16.623137285915977,16.348576245537462,16.838057696963972,16.623137285915977,73.51464579904322,73.29359148267974,72.85148284995279,41.66666666666667,17.478638759690618,17.111450357614395,0.3712931262167629,0.33989276932977536,0.03140035688698756,64.6194055434972,62.15201792475374,-,-,-,-,-,-,455111.84,-,-
2018-01-31,15.8,17.3,17.39,15.8,255423.0,17.264,16.979184881816153,16.979184881816153,16.739195059157876,16.57003165456656,16.330590139126393,16.739195059157876,16.57003165456656,49.00976386602881,65.19898227712943,97.57741909933071,41.66666666666667,16.9990276854933,16.909688764135257,0.09227086717271149,0.2903683888983626,-0.1980975217256511,40.29920400668689,28.530416276458404,-,-,-,-,-,-,199688.84000000003,-,-
2018-02-01,14.22,14.22,14.22,14.22,86745.0,16.582,16.477514903304122,16.477514903304122,16.49927172019046,16.41841670911065,16.261390462433727,16.49927172019046,16.41841670911065,32.67317591068587,54.357046821648254,97.72478864357299,33.33333333333333,16.20501977535236,16.495890492729835,-0.2887764703670008,0.1745394170452899,-0.46331588741229074,29.44589897823545,18.02575132219689,-,-,-,-,-,-,112943.84000000003,-,-
2018-02-02,15.35,12.8,15.64,12.8,510425.75,16.136,16.272512193612467,16.272512193612467,16.38981727064851,16.34948659884545,16.231508807927707,16.38981727064851,16.34948659884545,36.90667243393292,48.54025535907646,71.80742120936354,41.66666666666667,15.96072841096597,16.319599647694474,-0.3573753460067355,0.06815646443488484,-0.4255318104416203,41.696795782544626,37.70917987906308,-,-,-,-,-,-,623369.5900000001,-,-
2018-02-26,14.05,14.0,14.78,13.82,468603.81,15.396,15.868419067501106,15.868419067501106,16.16697753058675,16.201132624726387,16.159983928979248,16.16697753058675,16.201132624726387,32.01844591680937,43.03298554498743,65.06206480134355,41.66666666666667,15.414806007832835,15.970430471126093,-0.5545559699205658,-0.0563860224362053,-0.4981699474843605,34.23604296723873,28.32105454934435,-,-,-,-,-,-,154765.7800000001,-,-
2018-05-17,12.68,12.81,13.5,12.65,359405.0,14.419999999999998,15.288706509773636,15.288706509773636,15.834884432435631,15.973962777969847,16.045886095242224,15.834884432435631,15.973962777969847,21.51894083650953,35.861637308828136,64.54703025346531,41.66666666666667,14.63343286273774,15.464210398645156,-0.830014326355494,-0.21111168322006305,-0.618902643135431,28.395031047760078,21.53954025198271,36.16666666666667,17.18923756640211,15.003136013408692,12.817034460415274,-,-,-204639.2199999999,-,-
2018-05-18,11.41,11.41,11.41,11.41,43021.0,13.542000000000002,14.583487144360245,14.583487144360245,15.413466867441759,15.679513566487925,15.893889829824447,15.413466867441759,15.679513566487925,14.345960557673026,28.689745058443087,57.37731405998324,33.33333333333333,13.712452044812672,14.840485721930516,-1.127488527437901,-0.39438705206363067,-0.7331014753742703,24.216795507175668,17.008913923977023,32.5698251109371,16.80077669870999,14.076797256790456,11.352817814870923,-4.59,-,-247660.2199999999,-,-
2018-05-21,10.8,10.27,11.27,10.27,671537.75,12.857999999999999,13.895580390840195,13.895580390840195,14.974089070542545,15.364706239617734,15.726877048518727,14.974089070542545,15.364706239617734,11.731662866669545,23.037050994518577,45.647827250216636,25.0,12.880322889151909,14.218872533941207,-1.3381602521607672,-0.583141692083058,-0.7550185600777092,22.483290435387552,15.169798497688836,31.023458191449127,16.42347565696649,13.077471472868673,9.731467288770855,-5.1,-,-919197.97,-,-
2018-05-22,10.43,10.32,10.66,10.28,359262.28,11.874,13.265474865232887,13.265474865232887,14.541318682871823,15.046338095126266,15.553208948567296,14.541318682871823,15.046338095126266,8.475505305796059,18.183202431611075,37.5985966832411,16.666666666666664,12.180230635108506,13.635969067181021,-1.455460294480707,-0.7576054125625877,-0.6978548819181192,21.46650294944149,14.063011919607,30.118384194572716,14.776129364274842,12.117028764447895,9.457928164620947,-5.24,-,-1278460.25,-,-
2018-05-23,10.39,10.35,10.55,10.3,191700.12,11.142,12.742661253372365,12.742661253372365,14.145954998788795,14.745929185763286,15.383923409270006,14.145954998788795,14.745929185763286,6.141134416542977,14.169179759921708,30.225270446679172,16.666666666666664,11.668736167934647,13.136589210691634,-1.4676543730485516,-0.8996152046597805,-0.5680391683887711,21.352617492079894,13.931152658917398,30.019587985429215,13.00558264646374,11.302249443593574,9.598916240723408,-5.18,-,-1470160.37,-,-
2018-05-24,10.07,10.38,10.42,10.0,239229.0,10.62,12.256722843668294,12.256722843668294,13.757768808427956,14.444256335068884,15.209696412244757,13.757768808427956,14.444256335068884,4.371207584108621,10.903189034650678,23.967151935734787,16.666666666666664,11.211954405667605,12.664806255200613,-1.4527099425984122,-1.010234152247507,-0.44247579035090534,20.407729755831824,12.780725728303329,29.219469451305024,11.564819603091092,10.649177751710305,9.733535900329517,-5.85,-,-1709389.37,-,-
2018-05-25,9.8,10.07,10.18,9.7,185828.92,10.297999999999998,11.810045963001333,11.810045963001333,13.380838445720535,14.144626894096696,15.032329316761322,13.380838445720535,14.144626894096696,3.315261534211208,8.373879867837521,18.491116535090143,8.333333333333332,10.808538861191147,12.224066831323595,-1.4154266080363094,-1.0912726434052673,-0.32415396463104207,19.609022934986243,11.794562391766314,28.549514619158302,10.819957863785394,10.140028455684764,9.460099047584134,-6.1,-,-1895218.29,-,-
2018-05-28,8.99,9.82,9.82,8.83,354342.97,9.936,11.297310333364726,11.297310333364726,12.962663355651912,13.81207032028401,14.834220158834722,12.962663355651912,13.81207032028401,2.7911474861335432,6.512969073936195,13.9566122495415,8.333333333333332,10.288956329422248,11.726518088043042,-1.4374893571235514,-1.160515986148924,-0.2769733709746274,17.382556447171176,9.230534764678445,26.637581691034335,10.731367369771814,9.680074831988001,8.62878229420419,-6.98,-,-2249561.26,-,-
2018-07-09,8.6,8.35,8.98,8.31,279073.41,9.57,10.806890272752957,10.806890272752957,12.547171607494588,13.475807718975362,14.62981949788932,12.547171607494588,13.475807718975362,2.8573285646388538,5.294422237503748,10.168609583233538,8.333333333333332,9.80639737815875,11.245515305267189,-1.4390662117532678,-1.2162260312697928,-0.22284018048347498,16.40422912201825,8.200520749123143,25.77050048951037,10.58455405766102,9.242138324737745,7.89972259181447,-7.910000000000002,-,-2528634.67,-,-
2018-07-10,8.26,8.4,8.52,8.02,268783.59,9.144,10.343819314070599,10.343819314070599,12.138869549637961,13.1393039951705,14.420972956974914,12.138869549637961,13.1393039951705,2.708098561164859,4.432314345390785,7.880745913842636,8.333333333333332,9.364569555827678,10.786205258303006,-1.4215987629359201,-1.2573005776030182,-0.16429818533290197,15.57077147229874,7.343281574717504,25.02934028144857,10.208501545999232,8.826063120607365,7.443624695215499,-8.22,-,-2797418.26,-,-
2018-07-11,7.72,8.02,8.02,7.48,267159.62,8.674,9.866761256966855,9.866761256966855,11.718024830624822,12.789671479353053,14.201268925598686,11.718024830624822,12.789671479353053,2.6126644292730385,3.825764373351536,6.2519642615085305,0.0,8.894692539876914,10.314481372410237,-1.4197624471480328,-1.289792951512021,-0.1299694956360118,14.310975135209555,6.123325925194702,23.89062536912679,9.81218747256468,8.41083955002724,7.009491627489802,-8.830000000000002,-6.400000000000001,-3064577.88,-2.489590948705811,-
2018-07-12,7.87,7.61,8.07,7.6,205759.95,8.288,9.503713755700154,9.503713755700154,11.35154627532722,12.47227331939479,13.993686337874141,11.35154627532722,12.47227331939479,3.334913541083985,3.662147429262352,4.316615205619087,8.333333333333332,8.601923242769224,9.938407315116354,-1.3364652256433516,-1.2991274063382872,-0.03733781930506441,16.361580494803846,11.049190967272295,24.88121789857459,8.993204116568464,8.060131772106352,7.127059427644241,-8.48,-6.7890000000000015,-2858817.9299999997,-2.600017972766311,-
2018-07-13,8.0,7.8,8.28,7.6,262773.62,8.09,9.230311254663762,9.230311254663762,11.032351391962724,12.18373955685319,13.797172031714332,11.032351391962724,12.18373955685319,4.347458700591935,3.890584519705546,2.976836157932768,16.666666666666664,8.429945173406589,9.640190805098454,-1.2102321697605944,-1.2813483590227486,0.07111618926215413,18.212070549507995,15.65210036162384,25.755112283126238,8.439778473583775,7.818553876517626,7.197329279451478,-8.29,-7.108000000000001,-2596044.3099999996,-2.6898240926662487,-
2018-07-16,7.82,7.79,7.9,7.63,179757.56,7.934,8.973891026543079,8.973891026543079,10.726413164156751,11.902207972540081,13.601199178215499,10.726413164156751,11.902207972540081,4.450817215919737,4.077328751776943,3.3303518234913536,16.666666666666664,8.255675123861849,9.360161450467922,-1.1044767109408795,-1.2459740294063748,0.1414973184654953,17.623116563590944,14.412892736540492,25.329369448286045,8.033725779673274,7.661145586962931,7.288565394252587,-8.36,-7.420000000000002,-2775801.8699999996,-2.7611733397680305,-
2018-07-17,8.32,7.82,8.6,7.73,425018.88,7.9460000000000015,8.855001748989793,8.855001748989793,10.497230958046584,11.671097780763304,13.4280451067986,10.497230958046584,11.671097780763304,7.618374267977497,5.257677257177129,0.536283235576386,25.0,8.274053659901321,9.200136611934395,-0.926076083700794,-1.1819944402652587,0.2559183565644647,24.975238864865894,32.28367550955114,28.743568776034966,8.045289568149695,7.630059511434077,7.214829454718458,-7.879999999999999,-7.69,-2350782.9899999998,-2.7980227765215027,-
2018-07-18,8.07,8.19,8.26,8.05,261192.0,8.016000000000002,8.712274158264375,8.712274158264375,10.266066104899293,11.4387688916818,13.252371496739626,10.266066104899293,11.4387688916818,10.083157060755141,6.866170525036465,0.4321974535991125,25.0,8.21575261421523,9.026269440867566,-0.8105119207007068,-1.1076979363523483,0.2971860156516415,23.815842637488164,28.689425152198243,28.073847041794032,8.014275945259989,7.661776299870013,7.309276654480036,-9.440000000000001,-8.049000000000001,-2611974.9899999998,-2.8109691038129103,-
2018-07-19,7.57,8.09,8.13,7.5,259415.31,7.956,8.504587947670853,8.504587947670853,10.009297904432694,11.18917089867007,13.066064234551446,10.009297904432694,11.18917089867007,7.513661435402282,7.082000828491738,6.218679614670651,25.0,8.031251867296593,8.802227988426402,-0.7709726168786464,-1.0403528724576079,0.2693802555789615,21.62552340572349,22.640012007265774,26.772034412846583,8.163821425173369,7.661889158826575,7.159956892479781,-10.620000000000001,-8.501000000000001,-2871390.3,-2.815309864193183,-
2018-07-20,7.75,7.63,7.83,7.53,191328.56,7.9060000000000015,8.367390139003422,8.367390139003422,9.794126675439102,10.967288905207486,12.891767046533365,9.794126675439102,10.967288905207486,7.8392963028468,7.3344326532767585,6.324705354136678,33.33333333333333,7.950894190926138,8.640346759437724,-0.6894500654750413,-0.9701723110610946,0.2807222455860533,24.357630085355865,29.098496086266874,28.0257800199735,8.173946951608938,7.650176009306861,7.126405067004785,-9.879999999999999,-8.791,-2680061.7399999998,-2.8023038242730114,-
2018-07-23,7.65,7.73,7.73,7.55,146997.52,7.872000000000001,8.236955568275526,8.236955568275526,9.589924134921091,10.753270266161845,12.719905831892927,9.589924134921091,10.753270266161845,7.072017296360405,7.246960867637973,7.596848010193107,33.33333333333333,7.864924422090098,8.487985719524229,-0.6230595095508837,-0.9007497507590524,0.27769024120816865,23.853672134931116,27.564336682249923,27.75034965614052,8.190180462229128,7.627842485563818,7.065504508898509,-9.929999999999998,-8.993,-2827059.26,-2.774930459051461,-
2018-07-24,7.93,7.62,8.17,7.62,264481.91,7.794,8.181145464952705,8.181145464952705,9.431836122071463,10.571123797377213,12.562859739043974,9.431836122071463,10.571123797377213,9.816719013900128,8.103546916392022,4.677202721375816,41.66666666666667,7.88351744435007,8.402141762674347,-0.5186230412648154,-0.824324408860205,0.3057013675953896,28.379942853842678,38.46518122364391,29.767027801020244,8.003069121417694,7.63698716338093,7.270905205344166,-9.82,-9.153,-2562577.3499999996,-2.7241499842267536,-
