date,open,PSY,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2017-02-03,5.98,-,5.99,6.0,5.94,863828.31,-,-,-,-,-,-,-,-,-,-,-,-,-,863828.31,-,-,-,-,-,-,-,-,-,-,-
2017-02-06,5.97,-,5.99,6.0,5.97,664131.25,-,-,-,-,-,-,-,-,-,-,-,-,-,863828.31,-,-,-,-,-,-,-,-,-,-,-
2017-02-07,5.99,-,5.96,5.99,5.94,745789.62,-,-,-,-,-,-,-,-,-,-,-,-,-,118038.69000000006,-,-,-,-,-,-,-,-,-,-,-
2017-02-08,5.99,-,5.99,6.01,5.96,737567.62,-,-,-,-,-,-,-,-,-,-,-,-,-,855606.31,-,-,-,-,-,-,-,-,-,-,-
2017-02-09,5.97,-,5.99,6.03,5.97,803855.38,5.984,-,-,-,-,-,-,-,-,-,-,-,-,855606.31,-,-,-,-,-,-,-,-,-,-,-
2017-02-10,5.96,-,5.97,6.02,5.94,872555.94,5.9799999999999995,-,-,-,-,-,5.9816666666666665,-,-,-,-,-,-,-16949.62999999989,-,-,-,-,-,-,-,-,-,-,-
2017-02-13,6.0,-,5.96,6.01,5.94,837339.31,5.973999999999999,-,-,-,-,-,5.97547619047619,-,-,-,-,-,-,-854288.94,-,-,-,-,-,-,33.333333333333336,-,-,-,-
2017-02-14,5.99,-,6.0,6.01,5.97,742621.75,5.981999999999999,-,-,-,-,-,5.982482993197278,-,-,-,-,-,-,-111667.18999999994,-,-,-,-,-,-,56.52173913043468,-,-,-,-
2017-02-15,5.99,-,6.0,6.03,5.97,759715.62,5.983999999999999,-,-,-,-,-,5.9874878522837705,-,-,-,-,-,-,-111667.18999999994,-,-,-,-,-,-,56.52173913043468,-,-,-,-
2017-02-16,5.97,-,5.97,6.04,5.96,801406.38,5.979999999999999,5.982,-,5.982,-,-,5.982491323059836,-,-,-,-,-,-,-913073.57,-,-,-,-,-,-,41.08723135271797,-,-,-,-
2017-02-17,6.01,0.3,5.99,6.04,5.98,658292.56,5.983999999999999,5.982,-,5.983454545454546,-,-,5.984636659328454,-,-,-,-,-,-,-254781.0099999999,-,-,-,-,-,-,51.64971985889194,-,-,-,-
2017-02-20,6.05,0.4,6.05,6.08,5.97,1048951.0,6.001999999999998,5.988,-,5.995553719008265,-,-,6.003311899520324,5.988333333333333,-,-,-,-,-,794169.9900000001,-,-,-,-,-,-,70.61568340605831,-,-,-,-
2017-02-21,6.05,0.4,6.0,6.09,5.99,975993.62,6.001999999999998,5.991999999999999,-,5.996362133734035,-,-,6.002365642514517,5.990128205128205,-,-,-,-,-,-181823.6299999999,-,-,-,-,-,51.72413793103444,50.72012174133589,-,56.19047619047608,52.64550264550243,63.28042328042338
2017-02-22,6.1,0.4,6.05,6.13,6.04,894468.62,6.011999999999998,5.997999999999999,-,6.00611447305512,-,-,6.015975458938941,5.9993392504930965,-,-,-,-,-,712644.9900000001,-,-,-,-,-,59.36675461741417,63.171561871288596,-,58.82205513784445,55.95655806182105,64.55304928989126
2017-02-23,6.16,0.5,6.12,6.18,6.1,1093153.5,6.041999999999997,6.010999999999999,-,6.026820932499644,-,-,6.045696756384958,6.017902442724928,-,-,-,-,-,1805798.4900000002,-,-,-,-,-,67.27834653274091,74.14608320288836,-,57.63157894736836,57.548036758562965,57.79866332497916
2017-02-24,6.17,0.6,6.19,6.35,6.02,2497674.25,6.081999999999996,6.0329999999999995,-,6.0564898538633445,-,-,6.086926254560685,6.044378989998016,-,-,-,-,-,4303472.74,-,-,-,-,-,73.0110221166519,80.95599883320384,-,63.95636527215478,60.13666645245586,71.5957629115526
2017-02-27,6.24,0.7,6.26,6.27,6.21,899104.31,6.123999999999996,6.063000000000001,-,6.0934916986154635,-,-,6.1363758961147745,6.077551453075245,-,-,-,-,-,5202577.050000001,-,-,-,-,-,77.34155036617375,85.52975105397755,-,70.29914529914538,63.9623631728895,82.97270955165713
2017-02-28,6.21,0.6,6.24,6.28,6.19,1091375.62,6.171999999999995,6.087000000000001,-,6.12012957159447,-,-,6.165982782939125,6.102543537217515,-,-,-,-,-,4111201.4300000006,-,-,-,-,-,73.65777167506387,79.02276525952041,-,69.23076923076933,67.82875993402315,72.03478782426166
2017-03-01,6.22,0.6,6.18,6.25,6.17,1075297.12,6.197999999999995,6.105000000000001,-,6.131015104031839,-,-,6.169987702099375,6.114459916107128,-,-,-,-,-,3035904.3100000005,-,-,-,-,-,63.7244090476199,62.03298287251917,-,67.99370220422857,69.17453891138109,65.63202878992354
2017-03-02,6.24,0.7,6.23,6.26,6.21,987962.0,6.219999999999995,6.131000000000002,6.056500000000001,6.1490123578442315,6.056500000000001,-,6.187134072928125,6.132235313629108,0.054335541982386104,0.03546671325163212,0.018868828730753982,-,-,4023866.3100000005,-,-,-,-,-,67.68604971495512,68.75138973382091,-,65.15969410706263,67.46138851402019,60.55630529314752
2017-03-03,6.3,0.7,6.25,6.31,6.2,1036990.75,6.231999999999996,6.157000000000002,6.069500000000001,6.167373747327098,6.074928571428572,-,6.205095766377232,6.150352957686168,0.05434051060775591,0.03924147272285688,0.015099037884899032,-,-,5060857.0600000005,-,-,-,-,-,69.15592629280584,71.19778666268797,-,65.30214424951275,66.15184685360133,63.60273904133558
2017-03-06,6.27,0.7,6.27,6.3,6.26,872128.38,6.233999999999996,6.179000000000002,6.083500000000001,6.1860330659948985,6.093506802721089,-,6.223639833126594,6.16876019496522,0.05459228238758307,0.042311634655802115,0.012280647731780954,-,-,5932985.44,-,-,-,-,-,70.61412914577646,73.67126158233164,-,72.13361687045904,67.53181840901148,81.33721379335415
2017-03-07,6.42,0.7,6.27,6.43,6.26,1534317.75,6.239999999999997,6.206000000000001,6.099000000000001,6.2012997812685535,6.110315678652414,-,6.236885595090424,6.184335549585955,0.052344791380332545,0.0443182660007082,0.008026525379624345,-,-,5932985.44,-,-,-,-,-,70.61412914577647,73.67126158233164,-,69.65180257863183,69.02918789953453,70.89703193682644
2017-03-08,6.4,0.7,6.42,6.47,6.39,902038.12,6.287999999999997,6.243000000000002,6.120500000000001,6.241063457401544,6.13980942354266,-,6.28920399649316,6.220591618880424,0.06846576752406719,0.049147766305379995,0.019318001218687195,-,-,6835023.5600000005,-,-,-,-,-,79.33443729320106,86.34034407042155,-,75.20735813418739,72.33092586109275,80.96022268037666
2017-03-09,6.46,0.6,6.39,6.47,6.38,1122492.25,6.319999999999997,6.270000000000002,6.140500000000001,6.268142828783081,6.163637097490978,-,6.318002854637971,6.246654446744974,0.07124368640109147,0.053566950324522286,0.01767673607656918,-,-,5712531.3100000005,-,-,6.46211030674138,6.321255771848353,6.180401236955326,74.51021157802273,77.40160385389191,72.22222222222216,74.39927732610657,73.08614601297525,77.0255399523692
2017-03-10,6.47,0.6,6.47,6.53,6.44,1467939.62,6.363999999999997,6.298000000000004,6.1655000000000015,6.304844132640703,6.192814516777552,-,6.3614306104556935,6.281015301091901,0.08034050829814543,0.058921661919246915,0.021418846378898515,-,-,7180470.930000001,0.47999999999999954,-,6.523000951384279,6.361210964055136,6.199420976725993,78.34155018543099,83.02522976745867,74.5800176834659,81.85185185185179,77.15282910404858,91.24989734745822
2017-03-13,6.28,0.6,6.5,6.51,6.26,3244752.0,6.409999999999997,6.322000000000004,6.192500000000002,6.34032701761512,6.222070277084452,-,6.401021864611209,6.31470525477007,0.0862631805085341,0.06438996563710435,0.02187321487142975,-,-,10425222.93,0.5099999999999998,-,6.564047085471174,6.4045478691721485,6.245048652873123,79.59618003741839,84.73468272839342,75.39717974476314,82.77777777777767,79.67630231857868,88.98072869617567
2017-03-14,6.37,0.6,6.29,6.42,6.29,1900652.25,6.413999999999996,6.3270000000000035,6.2070000000000025,6.331176650776007,6.228539774504981,-,6.36930133186515,6.310904446343906,0.058358721712240325,0.06318371685213155,-0.004824995139891222,-,-,8524570.68,0.33000000000000007,-,6.565580950521391,6.41992381887319,6.27426668722499,55.184722468167905,45.90361052268769,61.059800372843455,67.42424242424232,77.35129068462392,47.57014590347913
2017-03-15,6.3,0.6,6.29,6.31,6.25,833625.0,6.3879999999999955,6.338000000000003,6.221500000000002,6.323689986998551,6.2343931293140304,-,6.346643808475107,6.307688377675612,0.038928170935920825,0.058332607668889404,-0.01940443673296858,-,-,8524570.68,0.2999999999999998,-,6.586182594249598,6.410728896653875,6.235275199058153,55.18472246816789,45.90361052268769,61.05980037284346,48.737373737373666,66.31313131313122,13.585858585858546
2017-03-16,6.3,0.5,6.29,6.36,6.24,1449830.5,6.367999999999995,6.344000000000003,6.237500000000002,6.317564534816997,6.239689021760313,6.152333333333332,6.330459863196505,6.304967088802441,0.025473303062939046,0.05176074674769933,-0.026287443684760284,-,-,8524570.68,0.2999999999999998,-,6.580121827722061,6.388121827722038,6.196121827722016,55.18472246816789,45.9036105226877,61.05980037284346,23.92894461859972,46.69685359340523,-21.6068733310113
2017-03-17,6.32,0.5,6.3,6.33,6.23,1555903.38,6.333999999999994,6.349000000000002,6.253000000000002,6.314370983032088,6.245432924449807,6.161860215053762,6.321757045140361,6.304202921294373,0.01754021575232656,0.04491664054862478,-0.027376424796298218,-,-,10080474.059999999,0.33000000000000007,-,6.529016424235082,6.36283579961237,6.196655174989657,56.01862760756876,47.86939274050898,61.45635080545713,22.61581330546836,31.76071055381391,4.326018808777256
2017-03-20,6.36,0.5,6.34,6.36,6.3,1369734.5,6.301999999999995,6.356000000000003,6.267500000000002,6.319030804298981,6.2544393125974445,6.173353104405132,6.3269693179574,6.309710164172162,0.017249219432623697,0.039383156325424565,-0.022133936892800868,-,-,11450208.559999999,0.3799999999999999,-,6.383839113294503,6.34505767443466,6.306276235574817,59.321586151047,55.61179820179009,63.0278645608506,25.747126436781453,24.097294786949842,29.046789736444673
2017-03-21,6.35,0.6,6.37,6.47,6.32,3210935.0,6.317999999999995,6.366000000000004,6.286000000000001,6.328297930790075,6.265445092350069,6.186040000895123,6.339263798541,6.318985523530291,0.02027117904455622,0.0355607608692509,-0.015289581824694677,-,-,14661143.559999999,0.3700000000000001,-,6.402652345969763,6.338902836167506,6.275153326365249,61.67636877536062,60.845482405972675,64.17111995430722,35.555555555555394,27.97283176593507,50.721003134796035
2017-03-22,6.27,0.5,6.33,6.4,6.26,3336335.75,6.325999999999995,6.357000000000004,6.3000000000000025,6.328607397919153,6.271593178792919,6.195327742772857,6.336616998957857,6.320680058371784,0.01593187203882085,0.031634983103164885,-0.015703111064344036,-,-,11324807.809999999,0.33000000000000007,-,6.39377398147838,6.336363181100946,6.278952380723513,56.88650296711004,51.18867007627429,61.524223179370516,38.88888888888875,33.397190293741865,49.87228607918253
2017-03-23,6.11,0.5,6.3,6.3,6.07,4640350.5,6.327999999999994,6.348000000000003,6.309000000000002,6.323406052842943,6.274298590336451,6.202080791626221,6.326154999255612,6.317498510929971,0.008652867934746844,0.027038560069481278,-0.018385692134734434,0.2154125808831786,-,6684457.309999999,0.33000000000000007,0.36599999999999994,6.383967632190964,6.331204008358494,6.278440384526024,53.48783017636909,44.79078240400784,59.60028809679048,44.09090909090899,39.51178451178438,53.249158249158214
2017-03-24,6.33,0.4,6.28,6.39,6.26,1377734.88,6.3239999999999945,6.329000000000003,6.313500000000002,6.315514043235135,6.2748415817329795,6.207107837327755,6.312967856611151,6.311729509248437,0.0012357613692186575,0.021878000329428753,-0.020642238960210096,0.19515566862131628,-,5306722.429999999,0.29000000000000004,0.347,6.384243621665461,6.321506073100174,6.258768524534887,51.26052134777558,40.71929579990732,58.33135568146511,46.03535353535349,43.005050505050406,52.09595959595964
2017-03-27,6.25,0.4,6.32,6.35,6.24,2094857.0,6.319999999999994,6.311000000000004,6.316500000000001,6.316329671737837,6.279142383472696,6.2143912026614485,6.314977040436537,6.313001892440985,0.0019733008573403765,0.01789706043501108,-0.015923759577670702,0.17650564010778247,-,7401579.429999999,0.27000000000000046,0.32300000000000006,6.375100279370163,6.314437275817962,6.253774272265761,55.31988789839516,51.3358733590223,60.10404410724255,55.75757575757577,48.62794612794608,70.01683501683515
2017-03-28,6.11,0.4,6.24,6.28,6.09,1378761.25,6.293999999999993,6.306000000000004,6.316500000000001,6.302451549603685,6.275414537427677,6.216043383134903,6.29355502888324,6.301770832065449,-0.008217122566644974,0.012674223834679869,-0.020891346401324843,0.15469746468115275,-,6022818.179999999,0.2400000000000002,0.31400000000000006,6.365712549269318,6.30171254926973,6.237712549270142,46.81313741466761,35.903835751440724,55.20289107943628,52.500000000000036,51.430976430976436,54.63804713804724
2017-03-29,6.17,0.4,6.11,6.18,6.08,986287.69,6.249999999999995,6.288000000000005,6.313000000000001,6.267460358766651,6.259660771958375,6.209201874545554,6.2411107349166,6.272267627132303,-0.03115783463315669,0.0039078121411125575,-0.035065646774269245,0.12423765075761928,-,5036530.489999998,0.0600000000000005,0.29000000000000015,6.419887011154014,6.27022071568323,6.1205544202124464,36.78545698722943,22.635296430245393,48.49713947346526,38.333333333333364,48.863636363636395,17.272727272727295
2017-03-30,6.18,0.5,6.18,6.26,6.16,798087.75,6.225999999999994,6.277000000000005,6.310500000000001,6.251558475354533,6.252074031771863,6.20731788263939,6.223650524940429,6.258072607573487,-0.034422755788382275,-0.0037583014447864094,-0.030664454343595868,0.0941552764320841,-,5834618.239999998,0.05999999999999961,0.2660000000000001,6.384946889539204,6.236568993611343,6.088191097683481,43.85060213322513,37.54822637977771,51.78778298002751,26.666666666666632,39.16666666666668,1.6666666666665435
2017-03-31,6.24,0.5,6.19,6.24,6.15,736123.0,6.207999999999994,6.266000000000005,6.307500000000002,6.240366025290072,6.246162219222161,6.2062005998884615,6.214036089243164,6.247599898716027,-0.033564290298095045,-0.009719499215448138,-0.023844791082646907,0.0664664993651698,-,6570741.239999998,0.0,0.2330000000000001,6.348915698088971,6.2095456869675445,6.070175675846118,44.811860993941735,39.545920230552746,52.24264026934444,22.499999999999975,29.166666666666657,9.166666666666615
2017-04-05,6.3,0.5,6.2,6.34,6.19,1426159.62,6.183999999999995,6.252000000000005,6.304000000000001,6.233026747964605,6.241765817391479,6.20580056118598,6.210025778030832,6.2402768373751,-0.03025140279086269,-0.013825879930531049,-0.016425522860331644,0.04233083541393956,-,7996900.8599999985,-0.05999999999999961,0.18900000000000014,6.27674373964168,6.192268891314061,6.107794042986442,45.82365823248596,41.780688355644656,52.70821263014454,32.29797979797976,27.15488215488212,42.58417508417502
2017-04-06,6.41,0.5,6.39,6.42,6.36,834227.5,6.213999999999994,6.254000000000006,6.310000000000001,6.261567339243768,6.255883358592291,6.217684395948175,6.261446984307737,6.263311170086623,-0.0018644310978821466,-0.011433590164001268,0.009569159066119121,0.03278345206048083,-,8831128.36,0.14999999999999947,0.1670000000000001,6.392605708318103,6.205586992677279,6.018568277036455,60.741938281360106,68.40771720635071,60.36819456018229,53.60750360750357,36.1351611351611,88.55218855218851
2017-04-07,6.46,0.6,6.4,6.47,6.39,1192193.75,6.271999999999994,6.2610000000000054,6.309000000000001,6.286736913926719,6.269608753012073,6.229446692983776,6.301033560219812,6.284340220842527,0.016693164149431006,-0.005808239301314813,0.02250140345074582,0.03312886934501158,-,10023322.11,0.22000000000000064,0.15600000000000014,6.442454020950966,6.241098613772557,6.0397432065941485,61.35296502569996,69.29466315387967,60.71763203717925,70.95793095793094,52.28780478780476,108.29818329818329
2017-04-10,6.44,0.7,6.48,6.51,6.43,1078823.88,6.331999999999995,6.279000000000006,6.313500000000001,6.321875656849134,6.28964601462997,6.245611422468694,6.352166828728437,6.314441725328292,0.03772497823739229,0.0028984042064266087,0.03482657403096569,0.043968577909181406,-,11102145.989999998,0.25,0.14800000000000013,6.526436361130475,6.294091789427245,6.061747217724015,65.97476407728293,75.81338523705764,63.4107335232179,88.83436976460239,71.1332681100123,124.23657307378255
2017-04-11,6.5,0.7,6.44,6.52,6.44,857667.31,6.381999999999994,6.295000000000006,6.312000000000002,6.343352810149291,6.303965441808068,6.258152621019101,6.3772620205203125,6.333758382970093,0.04350354814825241,0.01101943299479177,0.03248411515346064,0.05797373915856774,-,10244478.679999998,0.1900000000000004,0.13800000000000018,6.539371914398569,6.346540381707623,6.1537088490166765,61.93470673140473,67.24743452892542,61.220914214651515,85.63090656113927,81.8077357612242,93.2772481609694
2017-04-12,6.4,0.7,6.49,6.49,6.36,1387905.5,6.439999999999993,6.312000000000006,6.311500000000002,6.370015935576693,6.321683018778728,6.273110516437224,6.409472871800223,6.357795554820848,0.05167725312082716,0.01915099701999885,0.03252625610082831,0.07568195755880414,-,11632384.179999998,0.22000000000000064,0.13300000000000017,6.47662450070878,6.3956306737839945,6.314636846859209,64.86834689945904,71.99393037274262,62.89239669034485,89.34108527131798,87.93545386568654,92.15234808258086
2017-04-13,6.37,0.7,6.38,6.43,6.35,1068518.88,6.4379999999999935,6.326000000000006,6.316000000000002,6.371831220017294,6.327237016990278,6.2800066121509515,6.401052051285873,6.3612116233099485,0.03984038236267651,0.023288874088534382,0.016551508274142125,0.08781702199949226,-,10563865.299999997,0.11000000000000032,0.12000000000000019,6.510267455802537,6.42410481888896,6.337942181975383,54.742850712789526,52.07184907187433,57.229598947528274,79.05405405405416,84.67534862883713,67.81146490448822
2017-04-14,6.35,0.7,6.37,6.43,6.33,1075673.25,6.431999999999993,6.352000000000006,6.320000000000001,6.371498270923241,6.331309682038823,6.28581263717347,6.392180036632767,6.362563681262264,0.029616322789610905,0.024554363828749686,0.005061958960861219,0.09489480328424005,-,9488192.049999997,-0.04999999999999982,0.10900000000000017,6.5317786931427415,6.432662599596359,6.333546506049976,53.9083335621011,50.54599113124559,56.74492391977712,71.60114660114667,79.99876197550626,54.80591585242749
2017-04-17,6.34,0.6,6.36,6.42,6.27,1200923.0,6.407999999999992,6.370000000000005,6.323500000000001,6.369407676209924,6.33404209327322,6.2905989186461495,6.382985740451977,6.362169268760377,0.02081644841953345,0.02380678074690644,-0.002990332327372988,0.09753020248630673,-,8287269.049999997,-0.02999999999999936,0.10000000000000027,6.526257611117634,6.427141517571538,6.3280254240254425,53.02649449380703,48.828991877695636,56.24785193274574,57.712257712257774,69.45581945581952,34.22513422513427
2017-04-18,6.38,0.5,6.34,6.44,6.31,1318081.5,6.387999999999993,6.385000000000005,6.3255,6.364060825989938,6.334609512961485,6.293786085185108,6.370704100322841,6.358758612028011,0.011945471671924501,0.021434518931910052,-0.009489047259985551,0.09579492873244,-,6969187.549999997,-0.1299999999999999,0.08700000000000027,6.517661580387368,6.412286061409404,6.30691054243144,51.19917312760415,45.14824851077027,55.23803215895521,46.324870324870425,58.54609154609162,21.882427882428033
2017-04-19,6.31,0.4,6.32,6.37,6.27,1108206.12,6.353999999999992,6.397000000000004,6.3245000000000005,6.35604976671904,6.333218130774677,6.295477305495746,6.356217214516315,6.352795748639086,0.003421454003724733,0.01783190594627299,-0.014410451942548256,0.0900230628285481,-,5860981.429999997,-0.17999999999999972,0.07500000000000026,6.4348071412247,6.391725822768901,6.348644504313103,49.344162681641684,41.403077526506934,54.22225392839132,33.17171717171735,45.736281736281846,8.04258804258835
2017-04-20,6.49,0.3,6.3,6.54,6.29,1849800.25,6.337999999999992,6.3880000000000035,6.321000000000001,6.345858900042851,6.330054499272327,6.295769092237956,6.340155153225939,6.344673325771534,-0.004518181026669232,0.013361888551684544,-0.017880069578353776,0.08069914614790008,-,4011181.179999997,0.009999999999999787,0.0610000000000003,6.419294121584471,6.3680691276861445,6.316844133787818,47.46798996892148,37.65479532658426,53.20139177819458,19.70370370370387,33.06676373343054,-7.0224163557494705
2017-04-21,6.7,0.3,6.57,6.71,6.55,1691711.88,6.377999999999992,6.405000000000004,6.333,6.386611827307787,6.352906451722582,6.313461408867766,6.4058251094470995,6.379338967960529,0.026486135428660518,0.01598673792707974,0.010499397501580778,0.08512368274513626,-,5702893.059999997,0.28000000000000025,0.06700000000000025,6.5730805643459425,6.3769581535921205,6.1808357428382985,66.3248367016112,74.72433738376985,63.01149341240821,33.097643097643264,28.657687991021486,41.97755331088681
2017-04-24,6.74,0.3,6.69,6.8,6.64,1417995.62,6.443999999999993,6.426000000000004,6.352500000000001,6.441773313251826,6.3850105991775745,6.337754221198877,6.487017935319357,6.427132972889678,0.059884958102600194,0.02476638196218383,0.035118576140416365,0.10417245958722621,-,7120888.679999997,0.40000000000000036,0.0820000000000003,6.739161404489307,6.425065877619115,6.110970350748923,71.31687159707319,80.8097871910431,66.2887903581592,52.84607077059918,35.215805857315424,88.10660059716669
2017-04-25,6.7,0.4,6.73,6.8,6.66,1368750.88,6.521999999999991,6.455000000000004,6.375000000000002,6.494178165387858,6.417866732589234,6.363060400476369,6.556441382370969,6.47372790013742,0.08271347914277882,0.03635580139830283,0.046357677744475995,0.1327317354876234,-,8489639.559999997,0.4300000000000006,0.10600000000000032,6.8595601218119455,6.4974772583678835,6.135394394923821,72.78397236856745,82.49555753311343,67.2966575072691,78.07318467695838,54.672299515066925,124.8749550007413
2017-04-26,6.66,0.3,6.7,6.85,6.6,2859149.5,6.597999999999992,6.476000000000004,6.394000000000001,6.53160031713552,6.444736567580735,6.384798439155313,6.597458130264978,6.508538992423971,0.0889191356333141,0.046868468245305085,0.04205066738800902,0.1629396603396449,-,5630490.059999997,0.3600000000000003,0.12000000000000029,6.887792479931099,6.570453544406622,6.253114608882144,69.86039695009232,76.45126076742508,65.7580683421201,80.05855562784656,70.32593702513469,99.5237928332703
2017-04-27,6.44,0.3,6.59,6.6,6.39,2068837.25,6.655999999999992,6.497000000000005,6.411500000000001,6.542218441292698,6.458571180192093,6.39803724953239,6.5953272359035555,6.521071455127975,0.07425577919865667,0.0523459304359754,0.021909848762681268,0.1852239228099517,-,3561652.809999997,0.21999999999999975,0.13100000000000023,6.746149176348799,6.6186501567453995,6.491151137142,60.18964353742058,57.81338890871073,60.468578684221576,72.03426588592505,76.72200206357665,62.658793530621864
2017-04-28,6.45,0.3,6.4,6.48,6.38,1151131.75,6.621999999999991,6.500000000000005,6.426,6.5163605428758435,6.4529929725547515,6.398163878594817,6.539519454216825,6.502445077415979,0.03707437567447247,0.04929161948367482,-0.012217243809202347,0.1896764386908556,0.1334703366755674,2410521.059999997,0.07000000000000028,0.14300000000000024,6.860881237928898,6.619750567959571,6.3786198979902435,47.737629834598614,38.40642153354353,52.81189358312687,50.57471264367825,67.55584471914995,16.612448492734842
2017-05-02,6.37,0.4,6.43,6.52,6.36,1815625.25,6.569999999999991,6.507000000000007,6.4385,6.500658625989327,6.450803165644775,6.40021782191128,6.508228181583447,6.491299680890444,0.0169284998884498,0.042818995564629814,-0.025890495676180014,0.18411580619102086,0.13544286834785702,4226146.309999997,0.1299999999999999,0.15900000000000017,6.861944482978629,6.591537382480318,6.321130281982008,49.53590650289882,42.08969528524833,53.776227565772786,35.05747126436787,52.55548326465705,0.06144726378950338
2017-05-03,6.47,0.4,6.35,6.54,6.35,2040891.75,6.493999999999991,6.508000000000005,6.4465,6.473266148536721,6.441202864154796,6.396977962433133,6.463020129702462,6.46956126844576,-0.006541139317978839,0.03294696858810808,-0.03948810790608692,0.16763627826541505,0.13440359943743818,2185254.559999997,0.0699999999999994,0.1790000000000001,6.803667042620553,6.542408549935807,6.281150057251061,45.02863722901189,35.32914996913101,50.882765666781935,20.23809523809526,35.29009304871378,-9.865900383141778
2017-05-04,6.22,0.5,6.54,6.54,6.21,2512690.25,6.461999999999991,6.5300000000000065,6.463500000000001,6.485399576075499,6.450612115187673,6.406205190663253,6.485014378358902,6.480397996377182,0.004616381571233674,0.027280851184733203,-0.02266446961349953,0.15587552979485775,0.13366367030054338,4697944.809999997,0.21999999999999975,0.21900000000000003,6.688012772439567,6.509395863945684,6.330778955451802,55.515669865574345,55.637249116449084,56.66168317167618,29.954330870279136,28.416632457580743,33.02972769567592
2017-05-05,6.13,0.5,6.2,6.2,6.08,928844.31,6.3839999999999915,6.520000000000008,6.454000000000001,6.433508744061772,6.426744294693609,6.392901629975301,6.403581698827788,6.437259843088384,-0.033678144553801914,0.01508905203702618,-0.048767196590828094,0.1277719236525865,0.12837757079418033,3769100.4999999967,-0.040000000000000036,0.21400000000000005,6.67874334591018,6.456536235313084,6.234329124715988,40.451009183373216,33.22972060825311,46.455594561021364,25.953733766233757,25.38205329153604,27.097094715629197
