date,open,PSY,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2019-01-02,14.45,-,14.73,14.8,14.3,1246036.12,-,-,-,-,-,-,-,-,-,-,-,-,-,1246036.12,-,-,-,-,-,-,-,-,-,-,-
2019-01-03,14.3,-,14.34,14.37,14.11,507045.28,-,-,-,-,-,-,-,-,-,-,-,-,-,738990.8400000001,-,-,-,-,-,-,-,-,-,-,-
2019-01-04,14.42,-,14.35,14.59,14.23,1004109.81,-,-,-,-,-,-,-,-,-,-,-,-,-,1743100.6500000001,-,-,-,-,-,-,-,-,-,-,-
2019-01-07,13.67,-,14.58,14.58,13.55,2379375.25,-,-,-,-,-,-,-,-,-,-,-,-,-,4122475.9000000004,-,-,-,-,-,-,-,-,-,-,-
2019-01-08,13.72,-,13.69,14.09,13.66,1533890.75,14.338,-,-,-,-,-,-,-,-,-,-,-,-,2588585.1500000004,-,-,-,-,-,-,-,-,-,-,-
2019-01-09,13.49,-,13.42,13.59,13.21,774324.62,14.075999999999999,-,-,-,-,-,14.185,-,-,-,-,-,-,1814260.5300000003,-,-,-,-,-,-,-,-,-,-,-
2019-01-10,13.73,-,13.54,13.96,13.49,655356.62,13.915999999999997,-,-,-,-,-,14.000714285714286,-,-,-,-,-,-,2469617.1500000004,-,-,-,-,-,-,18.848167539266985,-,-,-,-
2019-01-11,13.75,-,13.73,13.88,13.4,947135.06,13.791999999999998,-,-,-,-,-,13.923367346938775,-,-,-,-,-,-,3416752.2100000004,-,-,-,-,-,-,27.502338634237628,-,-,-,-
2019-01-14,13.87,-,13.81,13.98,13.75,781332.38,13.638,-,-,-,-,-,13.89097667638484,-,-,-,-,-,-,4198084.590000001,-,-,-,-,-,-,31.208947274986702,-,-,-,-
2019-01-15,13.9,-,13.96,14.43,13.72,1743176.12,13.692000000000002,14.015,-,14.015,-,-,13.910697625989172,-,-,-,-,-,-,5941260.710000001,-,-,-,-,-,-,38.30600222894446,-,-,-,-
