date,open,PSY,close,high,low,volume,MA_5,MA_10,MA_20,EMA10,EMA20,EMA30,EMA12,EMA26,DIFF,DEA,MACD,TRIX12,TRIX20,OBV,MOM25,MOM25_MA_10,UPPER,MID,LOWER,RSI12,RSI6,RSI24,KValue,DValue,JValue
2018-06-01,15.8,-,15.5,15.88,15.35,12427.0,-,-,-,-,-,-,-,-,-,-,-,-,-,12427.0,-,-,-,-,-,-,-,-,-,-,-
2018-06-04,15.89,-,15.68,16.0,15.68,10960.5,-,-,-,-,-,-,-,-,-,-,-,-,-,23387.5,-,-,-,-,-,-,-,-,-,-,-
2018-06-05,15.83,-,15.9,16.08,15.83,13709.72,-,-,-,-,-,-,-,-,-,-,-,-,-,37097.22,-,-,-,-,-,-,-,-,-,-,-
2018-06-06,15.69,-,15.95,15.96,15.6,10114.13,-,-,-,-,-,-,-,-,-,-,-,-,-,47211.35,-,-,-,-,-,-,-,-,-,-,-
2018-06-07,16.15,-,15.7,16.15,15.61,11833.13,15.746,-,-,-,-,-,-,-,-,-,-,-,-,35378.22,-,-,-,-,-,-,-,-,-,-,-
2018-06-08,15.56,-,16.02,16.15,15.48,20381.5,15.85,-,-,-,-,-,15.791666666666666,-,-,-,-,-,-,55759.72,-,-,-,-,-,-,-,-,-,-,-
2018-06-11,16.0,-,15.52,16.3,15.5,14627.5,15.818000000000001,-,-,-,-,-,15.71404761904762,-,-,-,-,-,-,41132.22,-,-,-,-,-,-,50.65789473684209,-,-,-,-
2018-06-12,16.15,-,16.12,16.85,15.9,23600.5,15.862,-,-,-,-,-,15.830034013605443,-,-,-,-,-,-,64732.72,-,-,-,-,-,-,66.51785714285717,-,-,-,-
2018-06-13,15.7,-,16.3,16.3,15.55,17403.39,15.931999999999999,-,-,-,-,-,15.964310009718174,-,-,-,-,-,-,82136.11,-,-,-,-,-,-,69.99039692701666,-,-,-,-
2018-06-14,16.02,-,15.72,16.15,15.52,18086.4,15.935999999999998,15.841,-,15.841,-,-,15.894507149798695,-,-,-,-,-,-,64049.71,-,-,-,-,-,-,49.95658928897826,-,-,-,-
