date,open,close,high,low,volume,MA_5,MA_10,MA_20
2019-03-21,6.08,6.09,6.13,6.03,68774.0,5.969999999999999,5.739999999999998,5.769999999999997
2019-03-22,6.02,6.09,6.12,6.02,76188.33,6.016,5.814999999999998,5.772999999999997
2019-03-25,6.25,6.09,6.32,6.08,140466.27,6.0440000000000005,5.906999999999998,5.778499999999997
2019-03-26,6.28,6.25,6.37,6.2,116386.0,6.114,5.988999999999998,5.794499999999997
2019-03-27,6.35,6.37,6.41,6.26,140393.0,6.177999999999999,6.061999999999998,5.815499999999997
2019-03-28,6.22,6.43,6.55,6.19,199447.09,6.245999999999999,6.107999999999999,5.8444999999999965
2019-03-29,6.25,6.24,6.31,6.2,148047.03,6.275999999999998,6.145999999999998,5.870499999999996
2019-04-01,6.38,6.32,6.54,6.32,172911.0,6.321999999999997,6.182999999999997,5.897999999999997
2019-04-02,6.31,6.45,6.46,6.25,189221.12,6.361999999999997,6.237999999999998,5.936499999999997
2019-04-03,6.52,6.33,6.58,6.3,207989.0,6.353999999999997,6.265999999999998,5.972999999999997
2019-04-04,6.45,6.63,6.67,6.36,258994.86,6.393999999999997,6.319999999999998,6.029999999999997
2019-04-08,6.51,6.56,6.72,6.41,294578.0,6.457999999999997,6.366999999999997,6.090999999999997
2019-04-09,6.25,6.6,6.68,6.12,335275.84,6.513999999999998,6.417999999999997,6.162499999999996
2019-04-10,6.32,6.3,6.37,6.11,171158.64,6.483999999999996,6.4229999999999965,6.205999999999996
