date,open,close,high,low,volume,MA_5,MA_10,MA_20
2018-04-02,943.96,952.56,960.95,931.31,32379.78,-,-,-
2018-04-03,945.41,945.5,954.68,936.22,19598.52,-,-,-
2018-04-04,938.0,952.0,955.51,925.0,40761.02,-,-,-
2018-04-09,904.9,939.9,939.9,901.22,46423.44,-,-,-
2018-04-10,931.0,907.0,939.0,907.0,45522.64,939.392,-,-
2018-04-11,909.0,914.0,919.99,900.01,48612.17,931.68,-,-
2018-04-12,948.0,925.2,950.0,905.55,61102.54,927.6199999999999,-,-
2018-04-13,903.0,947.99,951.9,900.0,67814.38,926.8179999999999,-,-
2018-04-16,903.0,905.0,908.2,892.51,47989.8,919.838,-,-
2018-04-17,900.0,900.2,908.0,890.12,66251.93,918.4779999999998,928.9350000000001,-
2018-04-18,840.0,865.0,865.8,836.2,55772.36,908.6779999999999,920.1790000000001,-
2018-04-19,840.12,844.5,851.74,834.21,43056.8,892.5379999999999,910.0790000000001,-
2018-04-20,859.99,850.0,859.99,836.06,53227.05,872.9399999999999,899.8790000000001,-
2018-04-23,860.0,859.0,868.95,851.0,60934.61,863.74,891.7890000000001,-
2018-04-24,835.0,853.99,866.68,830.17,90933.96,854.4979999999999,886.488,-
2018-04-25,793.43,806.8,814.48,785.68,57566.76,842.858,875.768,-
2018-04-26,781.0,788.5,793.88,775.0,42807.39,831.658,862.098,-
2018-04-27,780.0,773.0,785.94,764.1,37595.69,816.258,844.5989999999999,-
2018-05-02,786.0,775.6,788.0,773.3,37270.46,799.5780000000001,831.659,-
2018-05-03,788.22,794.0,799.98,785.0,30517.5,787.5800000000002,821.039,874.9869999999999
2018-05-04,788.0,785.75,792.8,781.5,32573.28,783.3700000000001,813.1139999999999,866.6464999999998
2018-05-07,790.0,792.8,802.3,785.0,31117.52,784.2300000000001,807.9439999999998,859.0114999999998
2018-05-08,803.0,792.61,807.92,792.3,40634.93,788.152,802.2049999999999,851.0419999999998
2018-05-09,778.8,810.09,814.53,777.0,81318.8,795.0500000000001,797.314,844.5514999999998
2018-05-10,776.0,777.3,787.5,764.85,52400.71,791.71,789.6449999999999,838.0664999999997
2018-05-11,757.0,778.0,785.0,754.0,62172.56,790.1600000000001,786.7649999999999,831.2664999999997
2018-05-14,745.5,754.0,760.75,745.5,40561.36,782.4,783.3149999999998,822.7064999999997
2018-05-15,763.82,745.01,763.83,739.0,52510.01,772.88,780.5159999999998,812.5574999999997
2018-05-16,740.04,758.54,766.95,740.04,53057.24,762.57,778.8099999999997,805.2344999999996
2018-05-17,737.9,737.5,746.83,733.65,52275.25,754.61,773.1599999999996,797.0994999999996
2018-05-18,762.22,748.6,762.22,745.56,60180.53,748.7300000000001,769.4449999999997,791.2794999999994
2018-05-21,775.0,768.0,779.5,765.88,46731.37,751.5300000000001,766.9649999999997,787.4544999999995
2018-05-22,785.0,779.78,789.55,775.88,44830.56,758.484,765.6819999999997,783.9434999999994
2018-05-23,795.0,781.86,798.33,777.22,84585.96,763.1479999999999,762.8589999999997,780.0864999999994
2018-05-24,761.5,789.3,790.0,761.0,63840.23,773.508,764.0589999999995,776.8519999999994
