date,open,close,high,low,volume,MA_5,MA_10,MA_20
2019-01-02,938.0,952.0,955.51,925.0,40761.02,-,-,-
2019-01-03,904.9,939.9,939.9,901.22,46423.44,-,-,-
2019-01-04,931.0,907.0,939.0,907.0,45522.64,-,-,-
2019-01-07,909.0,914.0,919.99,900.01,48612.17,-,-,-
2019-01-08,948.0,925.2,950.0,905.55,61102.54,927.6200000000001,-,-
2019-01-09,903.0,947.99,951.9,900.0,67814.38,926.818,-,-
2019-01-10,903.0,905.0,908.2,892.51,47989.8,919.8380000000001,-,-
2019-01-11,900.0,900.2,908.0,890.12,66251.93,918.4780000000001,-,-
2019-01-14,840.0,865.0,865.8,836.2,55772.36,908.6780000000001,-,-
2019-01-15,840.12,844.5,851.74,834.21,43056.8,892.5380000000001,910.0790000000001,-
2019-01-16,859.99,850.0,859.99,836.06,53227.05,872.9400000000002,899.8790000000001,-
2019-01-17,860.0,859.0,868.95,851.0,60934.61,863.7400000000001,891.7890000000001,-
2019-01-18,835.0,853.99,866.68,830.17,90933.96,854.4980000000002,886.488,-
2019-01-21,793.43,806.8,814.48,785.68,57566.76,842.8580000000002,875.768,-
2019-01-22,781.0,788.5,793.88,775.0,42807.39,831.6580000000001,862.098,-
2019-01-23,780.0,773.0,785.94,764.1,37595.69,816.2580000000002,844.5989999999999,-
2019-01-24,786.0,775.6,788.0,773.3,37270.46,799.5780000000002,831.659,-
2019-01-25,788.22,794.0,799.98,785.0,30517.5,787.5800000000003,821.039,-
2019-01-28,788.0,785.75,792.8,781.5,32573.28,783.3700000000002,813.1139999999999,-
2019-01-29,790.0,792.8,802.3,785.0,31117.52,784.2300000000002,807.9439999999998,859.0115
2019-01-30,803.0,792.61,807.92,792.3,40634.93,788.1520000000003,802.2049999999999,851.042
2019-01-31,778.8,810.09,814.53,777.0,81318.8,795.0500000000003,797.314,844.5514999999999
2019-02-01,776.0,777.3,787.5,764.85,52400.71,791.7100000000003,789.6449999999999,838.0664999999999
2019-02-11,757.0,778.0,785.0,754.0,62172.56,790.1600000000002,786.7649999999999,831.2665
2019-02-12,745.5,754.0,760.75,745.5,40561.36,782.4000000000002,783.3149999999998,822.7064999999999
2019-02-13,763.82,745.01,763.83,739.0,52510.01,772.8800000000002,780.5159999999998,812.5574999999998
2019-02-14,740.04,758.54,766.95,740.04,53057.24,762.57,778.8099999999997,805.2344999999998
2019-02-15,737.9,737.5,746.83,733.65,52275.25,754.61,773.1599999999996,797.0994999999997
2019-02-18,762.22,748.6,762.22,745.56,60180.53,748.7300000000001,769.4449999999997,791.2794999999996
2019-02-19,775.0,768.0,779.5,765.88,46731.37,751.5300000000001,766.9649999999997,787.4544999999996
2019-02-20,785.0,779.78,789.55,775.88,44830.56,758.484,765.6819999999997,783.9434999999996
2019-02-21,795.0,781.86,798.33,777.22,84585.96,763.1479999999999,762.8589999999997,780.0864999999997
2019-02-22,761.5,789.3,790.0,761.0,63840.23,773.508,764.0589999999995,776.8519999999996
2019-02-25,737.9,755.01,763.42,736.95,56986.25,774.7900000000001,761.7599999999995,774.2624999999996
2019-02-26,733.0,740.7,758.02,731.0,65942.27,769.3300000000002,760.4299999999996,771.8724999999997
2019-02-27,747.8,727.35,749.18,726.0,57964.66,758.8440000000003,758.6639999999995,769.5899999999997
2019-02-28,730.75,742.33,744.44,717.99,82622.59,750.9380000000002,757.0429999999996,767.9264999999997
2019-03-01,717.0,726.01,728.49,714.1,25908.77,738.2800000000001,755.8939999999996,764.5269999999997
2019-03-04,720.0,720.25,730.48,717.0,29850.4,731.3280000000001,753.0589999999995,761.2519999999997
2019-03-05,735.0,722.0,735.0,716.06,37882.37,727.5880000000001,748.4589999999995,757.7119999999998
2019-03-06,740.96,730.76,742.5,726.66,29501.5,728.2700000000002,743.5569999999996,754.6194999999997
2019-03-07,731.0,740.0,744.95,731.0,37745.89,727.8040000000001,739.3709999999995,751.1149999999997
2019-03-08,734.88,724.78,734.88,723.02,23237.98,727.558,732.9189999999995,748.4889999999998
2019-03-11,731.2,737.16,743.66,730.14,32258.13,730.9399999999999,731.1339999999994,746.4469999999998
2019-03-12,723.0,735.25,736.16,717.22,35677.06,733.5899999999999,730.5889999999995,745.5094999999998
2019-03-13,723.0,717.92,725.49,715.2,35091.43,731.0219999999999,729.6459999999995,744.1549999999997
2019-03-14,695.0,725.3,729.5,688.18,58140.75,728.082,727.9429999999995,742.4929999999997
2019-03-15,697.04,692.67,699.0,689.61,30520.62,721.6600000000001,724.6089999999995,740.2514999999996
2019-03-18,680.0,689.6,689.6,677.56,36696.57,712.1480000000001,721.5439999999995,737.3014999999997
2019-03-19,684.99,676.0,686.22,676.0,22699.96,700.2980000000001,716.9439999999995,732.7014999999997
2019-03-20,677.5,685.0,688.0,668.0,30342.59,693.7140000000002,712.3679999999995,727.9624999999996
2019-03-21,684.0,677.0,693.98,676.03,36102.87,684.0540000000001,706.0679999999995,722.7194999999996
2019-03-22,675.88,679.7,684.9,669.93,28986.35,681.46,701.5599999999995,717.2394999999997
2019-03-25,670.3,672.5,677.83,664.68,29155.27,678.0400000000001,695.0939999999995,713.1139999999997
2019-03-26,667.22,665.66,674.5,663.13,33624.81,675.972,688.1349999999995,709.3619999999996
2019-03-27,686.0,671.0,686.0,665.22,42122.21,673.172,683.4429999999995,706.5444999999996
2019-03-28,690.0,686.98,698.88,681.88,47051.93,675.168,679.6109999999994,703.7769999999996
2019-03-29,665.0,683.61,690.2,661.5,68609.18,675.95,678.7049999999994,701.6569999999996
2019-04-01,663.0,659.25,669.7,655.8,30284.76,673.3,675.6699999999994,698.6069999999996
2019-04-02,658.0,661.1,665.65,653.6,42083.64,672.388,674.1799999999994,695.5619999999997
2019-04-03,627.86,659.98,661.5,625.0,55764.85,670.184,671.6779999999993,692.0229999999996
