date,open,close,high,low,volume,MA_5,MA_10,MA_20
2017-04-26,29.1,29.08,29.38,28.9,396883.03,-,-,-
2017-04-27,29.41,29.39,29.86,29.2,472220.91,-,-,-
2017-04-28,29.8,29.6,29.81,29.01,447456.69,-,-,-
2017-05-02,29.4,29.51,29.75,29.25,599063.81,-,-,-
2017-05-03,30.97,29.51,30.97,29.31,1254610.75,29.418,-,-
2017-05-04,30.61,31.48,31.51,30.46,454556.97,29.898000000000003,-,-
2017-05-05,30.84,30.7,30.84,30.31,459263.59,30.160000000000004,-,-
2017-05-08,31.5,30.98,31.5,30.77,543534.06,30.436,-,-
2017-05-09,30.75,31.64,31.68,30.01,709184.94,30.862000000000002,-,-
2017-05-10,31.77,30.94,32.0,30.88,557808.5,31.148000000000003,30.282999999999998,-
2017-05-11,31.57,31.09,31.77,30.81,482436.75,31.070000000000004,30.483999999999998,-
2017-05-12,32.65,31.84,33.2,31.41,573781.88,31.29800000000001,30.728999999999996,-
2017-05-15,32.9,32.77,33.2,32.4,539052.88,31.656000000000013,31.045999999999992,-
2017-05-16,32.06,33.48,33.6,31.78,904186.94,32.024000000000015,31.442999999999994,-
2017-05-17,32.28,31.54,32.8,31.25,744881.44,32.14400000000001,31.645999999999997,-
2017-05-18,32.5,32.22,33.12,31.75,692092.75,32.37000000000001,31.71999999999999,-
2017-05-19,31.88,32.49,32.52,31.4,453116.53,32.500000000000014,31.898999999999994,-
2017-05-22,32.13,31.99,32.48,31.71,509272.84,32.34400000000001,31.999999999999993,-
2017-05-23,31.02,32.07,33.1,31.0,1078515.12,32.06200000000001,32.04299999999999,-
2017-05-24,28.8,30.72,30.75,28.75,970329.94,31.898000000000014,32.021,31.152000000000005
2017-05-25,28.8,28.8,29.52,28.51,517324.88,31.214000000000016,31.792,31.137999999999998
2017-05-26,28.55,28.95,29.05,28.23,456424.19,30.50600000000001,31.503000000000004,31.116000000000003
2017-05-30,28.51,28.29,28.96,28.21,614437.94,29.76600000000001,31.055000000000007,31.0505
2017-05-31,28.84,28.16,28.92,28.11,485411.75,28.98400000000001,30.523000000000007,30.982999999999997
2017-06-01,29.38,29.19,29.4,28.68,403115.16,28.678000000000008,30.288000000000004,30.967000000000002
2017-06-02,29.63,29.55,30.14,29.42,673372.75,28.82800000000001,30.021000000000004,30.8705
2017-06-05,29.15,29.53,29.76,28.65,618588.56,28.94400000000001,29.725,30.811999999999994
2017-06-06,29.4,29.15,30.2,28.95,769978.94,29.116000000000014,29.440999999999995,30.720499999999994
2017-06-12,28.06,29.37,29.42,27.76,984627.75,29.358000000000015,29.171,30.606999999999992
2017-06-13,27.5,28.07,28.36,27.37,778181.38,29.134000000000015,28.905999999999995,30.463499999999993
2017-06-14,27.5,27.46,28.16,27.23,575706.25,28.716000000000015,28.77199999999999,30.281999999999993
